review_index,blind_filename,true_class,source_dataset,source_clip_id,base_clip_id,original_duration_sec,crop_start_sec
1,001.wav,instrumental_music,FSD50K,58873,fsd50k:dev:58873,6.496621315192744,0.98140589569161
2,002.wav,instrumental_music,FSD50K,187046,fsd50k:dev:187046,10.12265306122449,2.4134013605442175
3,003.wav,dog,ESC-50,1-30344-A-0.wav,1-30344-A-0,5.0,0.0
4,004.wav,dog,ESC-50,2-114587-A-0.wav,2-114587-A-0,5.0,0.0
5,005.wav,dog,ESC-50,1-30226-A-0.wav,1-30226-A-0,5.0,0.0
6,006.wav,instrumental_music,FSD50K,64780,fsd50k:dev:64780,6.857165532879819,0.5049433106575963
7,007.wav,snoring,ESC-50,4-183882-A-28.wav,4-183882-A-28,5.0,0.0
8,008.wav,instrumental_music,FSD50K,357048,fsd50k:dev:357048,8.520702947845805,2.6225170068027213
9,009.wav,dog,ESC-50,4-207124-A-0.wav,4-207124-A-0,5.0,0.0
10,010.wav,instrumental_music,FSD50K,64819,fsd50k:dev:64819,6.857165532879819,0.11845804988662131
11,011.wav,dog,ESC-50,5-213855-A-0.wav,5-213855-A-0,5.0,0.0
12,012.wav,snoring,ESC-50,5-244459-A-28.wav,5-244459-A-28,5.0,0.0
13,013.wav,snoring,ESC-50,4-184237-A-28.wav,4-184237-A-28,5.0,0.0
14,014.wav,instrumental_music,FSD50K,24469,fsd50k:dev:24469,13.520294784580498,3.6863945578231294
15,015.wav,instrumental_music,FSD50K,354390,fsd50k:dev:354390,10.453333333333333,5.057006802721088
16,016.wav,dog,ESC-50,4-194754-A-0.wav,4-194754-A-0,5.0,0.0
17,017.wav,snoring,ESC-50,4-184235-A-28.wav,4-184235-A-28,5.0,0.0
18,018.wav,dog,ESC-50,4-199261-A-0.wav,4-199261-A-0,5.0,0.0
19,019.wav,instrumental_music,FSD50K,31468,fsd50k:eval:31468,12.37501133786848,3.041224489795918
20,020.wav,instrumental_music,FSD50K,357865,fsd50k:dev:357865,8.106666666666667,0.8762585034013606
21,021.wav,snoring,ESC-50,5-233312-A-28.wav,5-233312-A-28,5.0,0.0
22,022.wav,snoring,ESC-50,2-117330-A-28.wav,2-117330-A-28,5.0,0.0
23,023.wav,snoring,ESC-50,3-123086-A-28.wav,3-123086-A-28,5.0,0.0
24,024.wav,dog,ESC-50,1-59513-A-0.wav,1-59513-A-0,5.0,0.0
25,025.wav,instrumental_music,FSD50K,367227,fsd50k:dev:367227,8.428843537414966,2.3991156462585033
26,026.wav,snoring,ESC-50,5-236288-A-28.wav,5-236288-A-28,5.0,0.0
27,027.wav,dog,ESC-50,5-203128-B-0.wav,5-203128-B-0,5.0,0.0
28,028.wav,instrumental_music,FSD50K,209398,fsd50k:dev:209398,20.532244897959185,11.073832199546485
29,029.wav,instrumental_music,FSD50K,249969,fsd50k:eval:249969,27.296553287981858,8.147165532879818
30,030.wav,snoring,ESC-50,1-40967-A-28.wav,1-40967-A-28,5.0,0.0
31,031.wav,snoring,ESC-50,1-39937-A-28.wav,1-39937-A-28,5.0,0.0
32,032.wav,snoring,ESC-50,1-53444-A-28.wav,1-53444-A-28,5.0,0.0
33,033.wav,dog,ESC-50,2-114280-A-0.wav,2-114280-A-0,5.0,0.0
34,034.wav,dog,ESC-50,3-157695-A-0.wav,3-157695-A-0,5.0,0.0
35,035.wav,dog,ESC-50,5-203128-A-0.wav,5-203128-A-0,5.0,0.0
36,036.wav,instrumental_music,FSD50K,413863,fsd50k:dev:413863,9.6,3.4096371882086167
37,037.wav,dog,ESC-50,1-32318-A-0.wav,1-32318-A-0,5.0,0.0
38,038.wav,instrumental_music,FSD50K,13458,fsd50k:dev:13458,9.080136054421768,4.064489795918368
39,039.wav,instrumental_music,FSD50K,24822,fsd50k:dev:24822,28.37562358276644,7.765034013605442
40,040.wav,snoring,ESC-50,4-180337-A-28.wav,4-180337-A-28,5.0,0.0
41,041.wav,instrumental_music,FSD50K,172564,fsd50k:eval:172564,9.75,1.814580498866213
42,042.wav,snoring,ESC-50,4-191297-A-28.wav,4-191297-A-28,5.0,0.0
43,043.wav,snoring,ESC-50,2-52001-B-28.wav,2-52001-B-28,5.0,0.0
44,044.wav,snoring,ESC-50,5-234145-A-28.wav,5-234145-A-28,5.0,0.0
45,045.wav,snoring,ESC-50,3-130998-A-28.wav,3-130998-A-28,5.0,0.0
46,046.wav,dog,ESC-50,5-208030-A-0.wav,5-208030-A-0,5.0,0.0
47,047.wav,dog,ESC-50,2-117271-A-0.wav,2-117271-A-0,5.0,0.0
48,048.wav,snoring,ESC-50,4-183882-B-28.wav,4-183882-B-28,5.0,0.0
49,049.wav,instrumental_music,FSD50K,358838,fsd50k:dev:358838,9.104444444444445,3.231519274376417
50,050.wav,dog,ESC-50,4-184575-A-0.wav,4-184575-A-0,5.0,0.0
51,051.wav,instrumental_music,FSD50K,357663,fsd50k:dev:357663,10.351111111111111,3.788956916099773
52,052.wav,snoring,ESC-50,2-52001-A-28.wav,2-52001-A-28,5.0,0.0
53,053.wav,snoring,ESC-50,1-47923-A-28.wav,1-47923-A-28,5.0,0.0
54,054.wav,dog,ESC-50,3-144028-A-0.wav,3-144028-A-0,5.0,0.0
55,055.wav,instrumental_music,FSD50K,319588,fsd50k:eval:319588,14.769251700680272,2.1944444444444446
56,056.wav,instrumental_music,FSD50K,264937,fsd50k:dev:264937,21.368163265306123,2.9545351473922903
57,057.wav,dog,ESC-50,3-180977-A-0.wav,3-180977-A-0,5.0,0.0
58,058.wav,snoring,ESC-50,3-124958-A-28.wav,3-124958-A-28,5.0,0.0
59,059.wav,dog,ESC-50,3-155312-A-0.wav,3-155312-A-0,5.0,0.0
60,060.wav,dog,ESC-50,1-85362-A-0.wav,1-85362-A-0,5.0,0.0
