class,dataset,source_clip_id,base_clip_id,metadata_label,metadata_title,original_sample_rate_hz,original_duration_sec,active_fraction,active_span_sec,longest_active_gap_sec,technical_pass,selected,crop_start_sec,final_sample_rate_hz,final_samples,final_dtype,final_sha256
dog,ESC-50,1-100032-A-0.wav,1-100032-A-0,dog,,44100,5.0,0.08,0.4,0.0,True,False,,,,,
dog,ESC-50,1-110389-A-0.wav,1-110389-A-0,dog,,44100,5.0,0.12,0.6000000000000001,0.0,True,False,,,,,
dog,ESC-50,1-30226-A-0.wav,1-30226-A-0,dog,,44100,5.0,0.92,5.0,0.30000000000000004,True,True,0.0,24000,120000,float32,11f73723ac21ee1c8b28bec5cced0aa71268a66ccfe9325d78ac43685e143494
dog,ESC-50,1-30344-A-0.wav,1-30344-A-0,dog,,44100,5.0,0.42,4.6000000000000005,0.7000000000000001,True,True,0.0,24000,120000,float32,fda10a1353797f2b5577991e5ff800b7bdffc7e20069c5e9a546466596510d44
dog,ESC-50,1-32318-A-0.wav,1-32318-A-0,dog,,44100,5.0,0.42,4.800000000000001,0.5,True,True,0.0,24000,120000,float32,ffefaf759d7aa4f6f057e6ed0a23d2a166c8473f5aa757893d8b99db3422cf6d
dog,ESC-50,1-59513-A-0.wav,1-59513-A-0,dog,,44100,5.0,0.54,5.0,0.9,True,True,0.0,24000,120000,float32,8719608ef8f9db5b59236d4afebca6d97d283dcea82687ba887ce89438c3d1e8
dog,ESC-50,1-85362-A-0.wav,1-85362-A-0,dog,,44100,5.0,0.74,5.0,0.6000000000000001,True,True,0.0,24000,120000,float32,14bdbd1e88661c5147a27cb3c41629148f60707bac7794dbbae7284f6edbd3cc
dog,ESC-50,1-97392-A-0.wav,1-97392-A-0,dog,,44100,5.0,0.26,2.5,0.7000000000000001,True,False,,,,,
dog,ESC-50,2-114280-A-0.wav,2-114280-A-0,dog,,44100,5.0,0.46,4.800000000000001,0.6000000000000001,True,True,0.0,24000,120000,float32,605622f9933987091989ad9348f1ac18ed1c4cad720d34e6ea2e64e89cd73f1a
dog,ESC-50,2-114587-A-0.wav,2-114587-A-0,dog,,44100,5.0,0.5,4.800000000000001,0.4,True,True,0.0,24000,120000,float32,c1aa309b83a42588218a8130052615bba85fa86e39f0ded6f3227d3bb4e044af
dog,ESC-50,2-116400-A-0.wav,2-116400-A-0,dog,,44100,5.0,0.4,3.5,1.1,True,False,,,,,
dog,ESC-50,2-117271-A-0.wav,2-117271-A-0,dog,,44100,5.0,0.84,5.0,0.4,True,True,0.0,24000,120000,float32,dc012406da63ef670f75c21aa76662e712ad3d1087cadd182ab0040112448190
dog,ESC-50,2-118072-A-0.wav,2-118072-A-0,dog,,44100,5.0,0.22,1.1,0.0,True,False,,,,,
dog,ESC-50,2-118964-A-0.wav,2-118964-A-0,dog,,44100,5.0,0.18,0.9,0.0,True,False,,,,,
dog,ESC-50,2-122104-A-0.wav,2-122104-A-0,dog,,44100,5.0,0.54,4.5,1.3,True,False,,,,,
dog,ESC-50,2-122104-B-0.wav,2-122104-B-0,dog,,44100,5.0,0.44,4.0,1.0,True,False,,,,,
dog,ESC-50,3-136288-A-0.wav,3-136288-A-0,dog,,44100,5.0,0.9,4.5,0.0,True,False,,,,,
dog,ESC-50,3-144028-A-0.wav,3-144028-A-0,dog,,44100,5.0,0.82,5.0,0.5,True,True,0.0,24000,120000,float32,49b09d3fedaa24ec2a049244cae6a788e3df81342dae518c19d6dd247695185c
dog,ESC-50,3-155312-A-0.wav,3-155312-A-0,dog,,44100,5.0,0.54,4.7,1.0,True,True,0.0,24000,120000,float32,8f55234e287a729bfc4fe9815c4b6c20965f2fe6fcc8fc6909cee39d2385b344
dog,ESC-50,3-157695-A-0.wav,3-157695-A-0,dog,,44100,5.0,0.46,4.800000000000001,0.8,True,True,0.0,24000,120000,float32,d25b461f2595263230ddb7b682c19f2078c1ede1ac187146f131d94a506feb07
dog,ESC-50,3-163459-A-0.wav,3-163459-A-0,dog,,44100,5.0,0.16,0.8,0.0,True,False,,,,,
dog,ESC-50,3-170015-A-0.wav,3-170015-A-0,dog,,44100,5.0,0.56,2.8000000000000003,0.0,True,False,,,,,
dog,ESC-50,3-180256-A-0.wav,3-180256-A-0,dog,,44100,5.0,0.58,4.4,0.6000000000000001,True,False,,,,,
dog,ESC-50,3-180977-A-0.wav,3-180977-A-0,dog,,44100,5.0,0.68,4.800000000000001,0.7000000000000001,True,True,0.0,24000,120000,float32,973678d88339cf1ba6c66fc49fbab320d257b7564452569283e53d3c20be00ae
dog,ESC-50,4-182395-A-0.wav,4-182395-A-0,dog,,44100,5.0,0.16,0.8,0.0,True,False,,,,,
dog,ESC-50,4-183992-A-0.wav,4-183992-A-0,dog,,44100,5.0,0.28,3.7,2.3000000000000003,True,False,,,,,
dog,ESC-50,4-184575-A-0.wav,4-184575-A-0,dog,,44100,5.0,0.36,4.6000000000000005,0.7000000000000001,True,True,0.0,24000,120000,float32,f465affcf336faf70f909a95e2a47d94806b95757932f293bb8633d85ee62a1e
dog,ESC-50,4-191687-A-0.wav,4-191687-A-0,dog,,44100,5.0,0.32,4.3,0.8,True,False,,,,,
dog,ESC-50,4-192236-A-0.wav,4-192236-A-0,dog,,44100,5.0,0.44,3.9000000000000004,0.9,True,False,,,,,
dog,ESC-50,4-194754-A-0.wav,4-194754-A-0,dog,,44100,5.0,0.88,4.7,0.2,True,True,0.0,24000,120000,float32,3276009cf30140d844e4ef0d96ed1590e183fd803d47b13db95353944aff32de
dog,ESC-50,4-199261-A-0.wav,4-199261-A-0,dog,,44100,5.0,0.42,4.9,0.9,True,True,0.0,24000,120000,float32,656b11eab51b6edb00e8dfe35b44b3408295e504149163bc5b4a8646a8fd22a0
dog,ESC-50,4-207124-A-0.wav,4-207124-A-0,dog,,44100,5.0,0.36,4.7,1.3,True,True,0.0,24000,120000,float32,0aa9af1c16d620d9201cfe61e9edbae3fbc1fde5fd06ff13d8c0286ae86b70c1
dog,ESC-50,5-203128-A-0.wav,5-203128-A-0,dog,,44100,5.0,0.32,4.6000000000000005,1.8,True,True,0.0,24000,120000,float32,3f5c1d04a5ed1564da865396eb6ffa9010bc223c6326024135f14d30e41999fd
dog,ESC-50,5-203128-B-0.wav,5-203128-B-0,dog,,44100,5.0,0.58,4.800000000000001,0.5,True,True,0.0,24000,120000,float32,c84be2795d94335adcbb9b1f8ddd28b62450e4686da3d0e426b7f49a159dcf56
dog,ESC-50,5-208030-A-0.wav,5-208030-A-0,dog,,44100,5.0,0.62,4.7,0.6000000000000001,True,True,0.0,24000,120000,float32,7d632a59c251a3328f184439297bc23862691b5eb7424e99282d4df8cb7b53cb
dog,ESC-50,5-212454-A-0.wav,5-212454-A-0,dog,,44100,5.0,0.48,3.9000000000000004,0.5,True,False,,,,,
dog,ESC-50,5-213855-A-0.wav,5-213855-A-0,dog,,44100,5.0,0.5,4.6000000000000005,0.9,True,True,0.0,24000,120000,float32,b31e87df07469d6275646bffe5c74694047119ca358d66190387cbef7e6628a8
dog,ESC-50,5-217158-A-0.wav,5-217158-A-0,dog,,44100,5.0,0.66,3.3000000000000003,0.0,True,False,,,,,
dog,ESC-50,5-231762-A-0.wav,5-231762-A-0,dog,,44100,5.0,0.26,1.3,0.0,True,False,,,,,
dog,ESC-50,5-9032-A-0.wav,5-9032-A-0,dog,,44100,5.0,0.22,2.6,0.6000000000000001,True,False,,,,,
snoring,ESC-50,1-20545-A-28.wav,1-20545-A-28,snoring,,44100,5.0,0.44,4.0,1.1,True,False,,,,,
