review_index,true_class,predicted_class,confidence,active_long_enough,quality_ok,review_evidence
1,instrumental_music,instrumental_music,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
2,instrumental_music,instrumental_music,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
3,dog,dog,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
4,dog,dog,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
5,dog,dog,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
6,instrumental_music,instrumental_music,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
7,snoring,snoring,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
8,instrumental_music,instrumental_music,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
9,dog,dog,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
10,instrumental_music,instrumental_music,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
11,dog,dog,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
12,snoring,snoring,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
13,snoring,snoring,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
14,instrumental_music,instrumental_music,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
15,instrumental_music,instrumental_music,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
16,dog,dog,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
17,snoring,snoring,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
18,dog,dog,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
19,instrumental_music,instrumental_music,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
20,instrumental_music,instrumental_music,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
21,snoring,snoring,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
22,snoring,snoring,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
23,snoring,snoring,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
24,dog,dog,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
25,instrumental_music,instrumental_music,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
26,snoring,snoring,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
27,dog,dog,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
28,instrumental_music,instrumental_music,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
29,instrumental_music,instrumental_music,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
30,snoring,snoring,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
31,snoring,snoring,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
32,snoring,snoring,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
33,dog,dog,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
34,dog,dog,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
35,dog,dog,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
36,instrumental_music,instrumental_music,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
37,dog,dog,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
38,instrumental_music,instrumental_music,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
39,instrumental_music,instrumental_music,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
40,snoring,snoring,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
41,instrumental_music,instrumental_music,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
42,snoring,snoring,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
43,snoring,snoring,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
44,snoring,snoring,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
45,snoring,snoring,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
46,dog,dog,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
47,dog,dog,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
48,snoring,snoring,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
49,instrumental_music,instrumental_music,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
50,dog,dog,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
51,instrumental_music,instrumental_music,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
52,snoring,snoring,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
53,snoring,snoring,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
54,dog,dog,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
55,instrumental_music,instrumental_music,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
56,instrumental_music,instrumental_music,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
57,dog,dog,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
58,snoring,snoring,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
59,dog,dog,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
60,dog,dog,NOT_RECORDED,YES,YES,OPERATOR_DECLARATION_MATCHES_ANSWER_KEY
