source_clip_id,canonical_class,provider,subset,speaker_id,chapter_id,utterance_id,base_clip_id,split,original_path,original_duration_sec,crop_start_sec,crop_end_sec,prepared_path,prepared_sha256,sample_rate_hz,channels,samples,dtype,window_rms,window_peak,active_fraction,active_span_sec,longest_active_gap_sec,technical_qc_status,semantic_qc_status
libritts:1363:139304:1363_139304_000009_000003,speech,LibriTTS,train-clean-100,1363,139304,1363_139304_000009_000003,libritts:1363:139304:1363_139304_000009_000003,train,/home/leiyuxin/soundspaces/source_assets/libritts/LibriTTS/train-clean-100/1363/139304/1363_139304_000009_000003.wav,9.93,0.0,5.0,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/speech_libritts_train_clean_100_v1/audio/train/1363_139304_1363_139304_000009_000003.wav,cc77711714e4048182e4603ceac98cb6582fb1b7dbff095b9d196d120e2aca35,24000,1,120000,float32,0.06614439270463038,0.44415283203125,1.0,5.0,0.0,PASS,CORPUS_STRONG_LABEL
libritts:1926:147979:1926_147979_000012_000009,speech,LibriTTS,train-clean-100,1926,147979,1926_147979_000012_000009,libritts:1926:147979:1926_147979_000012_000009,train,/home/leiyuxin/soundspaces/source_assets/libritts/LibriTTS/train-clean-100/1926/147979/1926_147979_000012_000009.wav,14.05,2.6,7.6,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/speech_libritts_train_clean_100_v1/audio/train/1926_147979_1926_147979_000012_000009.wav,24cc0f95dc285cdc562dd7d222521422ce8bfe08890232d2a4dd536c8bdc2f49,24000,1,120000,float32,0.05389749618813323,0.489471435546875,1.0,5.0,0.0,PASS,CORPUS_STRONG_LABEL
libritts:4859:26870:4859_26870_000025_000002,speech,LibriTTS,train-clean-100,4859,26870,4859_26870_000025_000002,libritts:4859:26870:4859_26870_000025_000002,train,/home/leiyuxin/soundspaces/source_assets/libritts/LibriTTS/train-clean-100/4859/26870/4859_26870_000025_000002.wav,8.71,0.1,5.1,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/speech_libritts_train_clean_100_v1/audio/train/4859_26870_4859_26870_000025_000002.wav,f0d80e968d1d83f0ae9d21ca701bada524bbcd469402908b69f5ac88ed61b926,24000,1,120000,float32,0.06195607628701268,0.91534423828125,1.0,5.0,0.0,PASS,CORPUS_STRONG_LABEL
libritts:1069:133699:1069_133699_000003_000002,speech,LibriTTS,train-clean-100,1069,133699,1069_133699_000003_000002,libritts:1069:133699:1069_133699_000003_000002,train,/home/leiyuxin/soundspaces/source_assets/libritts/LibriTTS/train-clean-100/1069/133699/1069_133699_000003_000002.wav,11.99,5.4,10.4,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/speech_libritts_train_clean_100_v1/audio/train/1069_133699_1069_133699_000003_000002.wav,938929e149a54c52e2a8a60a961ee5b1a6ca2b55249d6cc9b007b0057f9fcb65,24000,1,120000,float32,0.12876848812398953,1.0,1.0,5.0,0.0,PASS,CORPUS_STRONG_LABEL
libritts:2384:152900:2384_152900_000010_000018,speech,LibriTTS,train-clean-100,2384,152900,2384_152900_000010_000018,libritts:2384:152900:2384_152900_000010_000018,train,/home/leiyuxin/soundspaces/source_assets/libritts/LibriTTS/train-clean-100/2384/152900/2384_152900_000010_000018.wav,7.899958333333333,0.0,5.0,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/speech_libritts_train_clean_100_v1/audio/train/2384_152900_2384_152900_000010_000018.wav,e88222b7038157b7812ffab8e7c1e50c71e8954599d383bd5d84df36a7152249,24000,1,120000,float32,0.06440781915603211,0.800933837890625,0.9,4.4,0.5999999999999996,PASS,CORPUS_STRONG_LABEL
libritts:730:359:730_359_000014_000001,speech,LibriTTS,train-clean-100,730,359,730_359_000014_000001,libritts:730:359:730_359_000014_000001,train,/home/leiyuxin/soundspaces/source_assets/libritts/LibriTTS/train-clean-100/730/359/730_359_000014_000001.wav,14.260041666666666,9.2,14.2,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/speech_libritts_train_clean_100_v1/audio/train/730_359_730_359_000014_000001.wav,d44fa08f436cad75a05725f93a41bf8e71ae33fe2f0ed5ce60b3c6905c5d2456,24000,1,120000,float32,0.0782330193201844,0.43011474609375,0.98,4.9,0.09999999999999964,PASS,CORPUS_STRONG_LABEL
libritts:7067:76047:7067_76047_000029_000000,speech,LibriTTS,train-clean-100,7067,76047,7067_76047_000029_000000,libritts:7067:76047:7067_76047_000029_000000,train,/home/leiyuxin/soundspaces/source_assets/libritts/LibriTTS/train-clean-100/7067/76047/7067_76047_000029_000000.wav,6.2,0.1,5.1,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/speech_libritts_train_clean_100_v1/audio/train/7067_76047_7067_76047_000029_000000.wav,54edee6642f31f787668d926874ad985c26abb1a77d7587c440727463a155d38,24000,1,120000,float32,0.08767338725945258,0.668060302734375,1.0,5.0,0.0,PASS,CORPUS_STRONG_LABEL
libritts:5514:19193:5514_19193_000031_000000,speech,LibriTTS,train-clean-100,5514,19193,5514_19193_000031_000000,libritts:5514:19193:5514_19193_000031_000000,train,/home/leiyuxin/soundspaces/source_assets/libritts/LibriTTS/train-clean-100/5514/19193/5514_19193_000031_000000.wav,5.81,0.5,5.5,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/speech_libritts_train_clean_100_v1/audio/train/5514_19193_5514_19193_000031_000000.wav,864430df469c5c8f313f5aaa845feb79cec210617d40272e1b97418ccf768cb7,24000,1,120000,float32,0.05712482469431639,0.439910888671875,0.98,4.3,0.7000000000000002,PASS,CORPUS_STRONG_LABEL
libritts:125:121342:125_121342_000056_000003,speech,LibriTTS,train-clean-100,125,121342,125_121342_000056_000003,libritts:125:121342:125_121342_000056_000003,train,/home/leiyuxin/soundspaces/source_assets/libritts/LibriTTS/train-clean-100/125/121342/125_121342_000056_000003.wav,14.729958333333334,0.1,5.1,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/speech_libritts_train_clean_100_v1/audio/train/125_121342_125_121342_000056_000003.wav,0a686b931e933f73754245472d208017a3c528561bec5dbf0020192218930c24,24000,1,120000,float32,0.0305811570487019,0.336273193359375,1.0,5.0,0.0,PASS,CORPUS_STRONG_LABEL
libritts:1098:133695:1098_133695_000003_000006,speech,LibriTTS,train-clean-100,1098,133695,1098_133695_000003_000006,libritts:1098:133695:1098_133695_000003_000006,train,/home/leiyuxin/soundspaces/source_assets/libritts/LibriTTS/train-clean-100/1098/133695/1098_133695_000003_000006.wav,15.21,0.0,5.0,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/speech_libritts_train_clean_100_v1/audio/train/1098_133695_1098_133695_000003_000006.wav,39ede9147494e30f3c683ff03d3081c683b269069129eafda242a5ca6b9dcecf,24000,1,120000,float32,0.08730052088558159,0.524627685546875,1.0,5.0,0.0,PASS,CORPUS_STRONG_LABEL
libritts:8629:261139:8629_261139_000008_000002,speech,LibriTTS,train-clean-100,8629,261139,8629_261139_000008_000002,libritts:8629:261139:8629_261139_000008_000002,train,/home/leiyuxin/soundspaces/source_assets/libritts/LibriTTS/train-clean-100/8629/261139/8629_261139_000008_000002.wav,20.8,10.4,15.4,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/speech_libritts_train_clean_100_v1/audio/train/8629_261139_8629_261139_000008_000002.wav,d4563ef64de58492115d026593c906bd3f6529cf81afba9968cca04df92b6b01,24000,1,120000,float32,0.03057698777637832,0.286865234375,1.0,5.0,0.0,PASS,CORPUS_STRONG_LABEL
libritts:8630:305213:8630_305213_000004_000006,speech,LibriTTS,train-clean-100,8630,305213,8630_305213_000004_000006,libritts:8630:305213:8630_305213_000004_000006,train,/home/leiyuxin/soundspaces/source_assets/libritts/LibriTTS/train-clean-100/8630/305213/8630_305213_000004_000006.wav,7.24,0.0,5.0,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/speech_libritts_train_clean_100_v1/audio/train/8630_305213_8630_305213_000004_000006.wav,a747ff8dd664b4da632a0a7103fad183b61845cd4398a6e31b832a189e933a95,24000,1,120000,float32,0.0912925833545596,0.68927001953125,0.98,4.7,0.2999999999999998,PASS,CORPUS_STRONG_LABEL
libritts:8419:286676:8419_286676_000019_000000,speech,LibriTTS,train-clean-100,8419,286676,8419_286676_000019_000000,libritts:8419:286676:8419_286676_000019_000000,train,/home/leiyuxin/soundspaces/source_assets/libritts/LibriTTS/train-clean-100/8419/286676/8419_286676_000019_000000.wav,9.32,4.0,9.0,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/speech_libritts_train_clean_100_v1/audio/train/8419_286676_8419_286676_000019_000000.wav,530b7023506c3dff9ad43ddc7ffe440cb2e18b26bef29a248df390cb1a14e3d6,24000,1,120000,float32,0.055867298152989193,0.48675537109375,1.0,5.0,0.0,PASS,CORPUS_STRONG_LABEL
libritts:6019:3185:6019_3185_000030_000008,speech,LibriTTS,train-clean-100,6019,3185,6019_3185_000030_000008,libritts:6019:3185:6019_3185_000030_000008,train,/home/leiyuxin/soundspaces/source_assets/libritts/LibriTTS/train-clean-100/6019/3185/6019_3185_000030_000008.wav,14.76,6.0,11.0,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/speech_libritts_train_clean_100_v1/audio/train/6019_3185_6019_3185_000030_000008.wav,dab9bf1171fd8bc6e50177a96882ebc2b1fc44a788f16b7ef7e5e39fa9405228,24000,1,120000,float32,0.08569858087732804,0.626434326171875,1.0,5.0,0.0,PASS,CORPUS_STRONG_LABEL
libritts:5778:54535:5778_54535_000017_000005,speech,LibriTTS,train-clean-100,5778,54535,5778_54535_000017_000005,libritts:5778:54535:5778_54535_000017_000005,train,/home/leiyuxin/soundspaces/source_assets/libritts/LibriTTS/train-clean-100/5778/54535/5778_54535_000017_000005.wav,18.230041666666665,0.2,5.2,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/speech_libritts_train_clean_100_v1/audio/train/5778_54535_5778_54535_000017_000005.wav,06cf82cad515786db2fccd8dbdb060a7b6a2ebaeaaa9180fdd8489471e8e0d86,24000,1,120000,float32,0.10783466215040799,0.54608154296875,1.0,5.0,0.0,PASS,CORPUS_STRONG_LABEL
libritts:669:129074:669_129074_000013_000002,speech,LibriTTS,train-clean-100,669,129074,669_129074_000013_000002,libritts:669:129074:669_129074_000013_000002,train,/home/leiyuxin/soundspaces/source_assets/libritts/LibriTTS/train-clean-100/669/129074/669_129074_000013_000002.wav,12.469958333333333,0.0,5.0,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/speech_libritts_train_clean_100_v1/audio/train/669_129074_669_129074_000013_000002.wav,a1cd3128bfcba68b54a8dee3b638fef2140638e536fb92c0ab761e4dc87fdd7d,24000,1,120000,float32,0.10999059159589246,0.669189453125,1.0,5.0,0.0,PASS,CORPUS_STRONG_LABEL
libritts:3664:11714:3664_11714_000018_000002,speech,LibriTTS,train-clean-100,3664,11714,3664_11714_000018_000002,libritts:3664:11714:3664_11714_000018_000002,train,/home/leiyuxin/soundspaces/source_assets/libritts/LibriTTS/train-clean-100/3664/11714/3664_11714_000018_000002.wav,17.95,4.4,9.4,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/speech_libritts_train_clean_100_v1/audio/train/3664_11714_3664_11714_000018_000002.wav,10daf17287dbcbb8753c80e9dc13a704b6ed7badb4c79f2b0ab33db76d332ec8,24000,1,120000,float32,0.05268537878072142,0.41131591796875,0.96,4.2,0.7999999999999998,PASS,CORPUS_STRONG_LABEL
libritts:229:130880:229_130880_000062_000001,speech,LibriTTS,train-clean-100,229,130880,229_130880_000062_000001,libritts:229:130880:229_130880_000062_000001,train,/home/leiyuxin/soundspaces/source_assets/libritts/LibriTTS/train-clean-100/229/130880/229_130880_000062_000001.wav,10.81,0.0,5.0,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/speech_libritts_train_clean_100_v1/audio/train/229_130880_229_130880_000062_000001.wav,29841c6a2acedc0677ebcfb064845fe2e9a14f529348719ca3b1d18b4abba74a,24000,1,120000,float32,0.05880695191387474,0.4119873046875,0.9,4.5,0.5,PASS,CORPUS_STRONG_LABEL
libritts:5652:39938:5652_39938_000014_000005,speech,LibriTTS,train-clean-100,5652,39938,5652_39938_000014_000005,libritts:5652:39938:5652_39938_000014_000005,train,/home/leiyuxin/soundspaces/source_assets/libritts/LibriTTS/train-clean-100/5652/39938/5652_39938_000014_000005.wav,5.540041666666666,0.1,5.1,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/speech_libritts_train_clean_100_v1/audio/train/5652_39938_5652_39938_000014_000005.wav,effb8f526926d618f48303b1454bf41544b860bf56f7c8980df908627735fe75,24000,1,120000,float32,0.10098423334955303,0.660919189453125,1.0,5.0,0.0,PASS,CORPUS_STRONG_LABEL
libritts:6476:57446:6476_57446_000045_000000,speech,LibriTTS,train-clean-100,6476,57446,6476_57446_000045_000000,libritts:6476:57446:6476_57446_000045_000000,train,/home/leiyuxin/soundspaces/source_assets/libritts/LibriTTS/train-clean-100/6476/57446/6476_57446_000045_000000.wav,11.070041666666667,0.1,5.1,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/speech_libritts_train_clean_100_v1/audio/train/6476_57446_6476_57446_000045_000000.wav,cb9e60ff887ad2262319017ad456a28dd4a582b02c30381111467d9b95c81d17,24000,1,120000,float32,0.06965148300778858,0.39935302734375,1.0,5.0,0.0,PASS,CORPUS_STRONG_LABEL
libritts:5750:100289:5750_100289_000037_000002,speech,LibriTTS,train-clean-100,5750,100289,5750_100289_000037_000002,libritts:5750:100289:5750_100289_000037_000002,train,/home/leiyuxin/soundspaces/source_assets/libritts/LibriTTS/train-clean-100/5750/100289/5750_100289_000037_000002.wav,9.419958333333334,3.8,8.8,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/speech_libritts_train_clean_100_v1/audio/train/5750_100289_5750_100289_000037_000002.wav,8a5c3b805ef1c28b4b6f11ce15e9f9f12de75ff9a83782abdc8e3c34eb19d666,24000,1,120000,float32,0.10554283236810334,0.597137451171875,1.0,5.0,0.0,PASS,CORPUS_STRONG_LABEL
libritts:7635:105409:7635_105409_000109_000000,speech,LibriTTS,train-clean-100,7635,105409,7635_105409_000109_000000,libritts:7635:105409:7635_105409_000109_000000,train,/home/leiyuxin/soundspaces/source_assets/libritts/LibriTTS/train-clean-100/7635/105409/7635_105409_000109_000000.wav,16.090083333333332,0.0,5.0,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/speech_libritts_train_clean_100_v1/audio/train/7635_105409_7635_105409_000109_000000.wav,1a60ab8ba8d6c70efab9ddedbb71e03649bd010dc069047c90c26dec08287a77,24000,1,120000,float32,0.062161288955946074,0.6329345703125,1.0,5.0,0.0,PASS,CORPUS_STRONG_LABEL
libritts:7302:86814:7302_86814_000002_000005,speech,LibriTTS,train-clean-100,7302,86814,7302_86814_000002_000005,libritts:7302:86814:7302_86814_000002_000005,train,/home/leiyuxin/soundspaces/source_assets/libritts/LibriTTS/train-clean-100/7302/86814/7302_86814_000002_000005.wav,13.38,0.1,5.1,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/speech_libritts_train_clean_100_v1/audio/train/7302_86814_7302_86814_000002_000005.wav,e1c115e30afa4ee404ec78683e868c9b13f6051710339960f2173f992da94394,24000,1,120000,float32,0.09887030598306346,0.431640625,0.96,4.800000000000001,0.1999999999999993,PASS,CORPUS_STRONG_LABEL
libritts:1624:142933:1624_142933_000034_000004,speech,LibriTTS,train-clean-100,1624,142933,1624_142933_000034_000004,libritts:1624:142933:1624_142933_000034_000004,train,/home/leiyuxin/soundspaces/source_assets/libritts/LibriTTS/train-clean-100/1624/142933/1624_142933_000034_000004.wav,7.58,1.6,6.6,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/speech_libritts_train_clean_100_v1/audio/train/1624_142933_1624_142933_000034_000004.wav,ed1ed4ca5815fce231bccce6fa8777c2e32f4af1ac38bebe2cfc62c805d3da56,24000,1,120000,float32,0.10024235458342198,0.76385498046875,1.0,5.0,0.0,PASS,CORPUS_STRONG_LABEL
libritts:460:172357:460_172357_000011_000000,speech,LibriTTS,train-clean-100,460,172357,460_172357_000011_000000,libritts:460:172357:460_172357_000011_000000,train,/home/leiyuxin/soundspaces/source_assets/libritts/LibriTTS/train-clean-100/460/172357/460_172357_000011_000000.wav,7.62,0.0,5.0,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/speech_libritts_train_clean_100_v1/audio/train/460_172357_460_172357_000011_000000.wav,a5fda29f4360d93952fc82ea47feef85c9b5de1f8ea319584adb67955273c01d,24000,1,120000,float32,0.07100847956624137,0.876220703125,1.0,5.0,0.0,PASS,CORPUS_STRONG_LABEL
libritts:831:130746:831_130746_000002_000001,speech,LibriTTS,train-clean-100,831,130746,831_130746_000002_000001,libritts:831:130746:831_130746_000002_000001,train,/home/leiyuxin/soundspaces/source_assets/libritts/LibriTTS/train-clean-100/831/130746/831_130746_000002_000001.wav,9.9,0.0,5.0,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/speech_libritts_train_clean_100_v1/audio/train/831_130746_831_130746_000002_000001.wav,0bb4d72405222f561f888400d913bbd9460ce96a54cd297bd9ad1c804216852f,24000,1,120000,float32,0.08184545582971307,0.65576171875,0.98,4.9,0.09999999999999964,PASS,CORPUS_STRONG_LABEL
libritts:3240:131231:3240_131231_000014_000000,speech,LibriTTS,train-clean-100,3240,131231,3240_131231_000014_000000,libritts:3240:131231:3240_131231_000014_000000,train,/home/leiyuxin/soundspaces/source_assets/libritts/LibriTTS/train-clean-100/3240/131231/3240_131231_000014_000000.wav,7.92,0.1,5.1,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/speech_libritts_train_clean_100_v1/audio/train/3240_131231_3240_131231_000014_000000.wav,1acbde36c630455dce0bd57f1f662daf31e7860db83b4aa1dff31c87bd93ee97,24000,1,120000,float32,0.0799747321180039,0.44677734375,1.0,5.0,0.0,PASS,CORPUS_STRONG_LABEL
libritts:7059:88364:7059_88364_000012_000006,speech,LibriTTS,train-clean-100,7059,88364,7059_88364_000012_000006,libritts:7059:88364:7059_88364_000012_000006,train,/home/leiyuxin/soundspaces/source_assets/libritts/LibriTTS/train-clean-100/7059/88364/7059_88364_000012_000006.wav,9.73,0.0,5.0,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/speech_libritts_train_clean_100_v1/audio/train/7059_88364_7059_88364_000012_000006.wav,deed082be0e36d8a23dd5425a9135870238f5ec1e25877f6d580d3f4ff9c1d12,24000,1,120000,float32,0.06035687864132502,0.47357177734375,0.96,4.800000000000001,0.1999999999999993,PASS,CORPUS_STRONG_LABEL
libritts:3699:47246:3699_47246_000010_000001,speech,LibriTTS,train-clean-100,3699,47246,3699_47246_000010_000001,libritts:3699:47246:3699_47246_000010_000001,train,/home/leiyuxin/soundspaces/source_assets/libritts/LibriTTS/train-clean-100/3699/47246/3699_47246_000010_000001.wav,14.08,7.9,12.9,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/speech_libritts_train_clean_100_v1/audio/train/3699_47246_3699_47246_000010_000001.wav,9f135ccc409ee45f0d0c180a315d5fa0165246c547e68f49288755f523fb4152,24000,1,120000,float32,0.13449389061095043,0.6905517578125,1.0,5.0,0.0,PASS,CORPUS_STRONG_LABEL
libritts:8975:270782:8975_270782_000019_000008,speech,LibriTTS,train-clean-100,8975,270782,8975_270782_000019_000008,libritts:8975:270782:8975_270782_000019_000008,train,/home/leiyuxin/soundspaces/source_assets/libritts/LibriTTS/train-clean-100/8975/270782/8975_270782_000019_000008.wav,20.090083333333332,14.4,19.4,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/speech_libritts_train_clean_100_v1/audio/train/8975_270782_8975_270782_000019_000008.wav,d63c35261901353cacdfe38a85ed70cf827461fb84b55d3a715acf13a60986b8,24000,1,120000,float32,0.0705048662515196,0.708953857421875,1.0,5.0,0.0,PASS,CORPUS_STRONG_LABEL
libritts:8014:112586:8014_112586_000010_000001,speech,LibriTTS,train-clean-100,8014,112586,8014_112586_000010_000001,libritts:8014:112586:8014_112586_000010_000001,train,/home/leiyuxin/soundspaces/source_assets/libritts/LibriTTS/train-clean-100/8014/112586/8014_112586_000010_000001.wav,10.27,4.8,9.8,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/speech_libritts_train_clean_100_v1/audio/train/8014_112586_8014_112586_000010_000001.wav,a551c2cda35628b080dafdd1bc9e190bbda85d94c704de5a90b3c6b61e1a6264,24000,1,120000,float32,0.06615677547596675,0.552642822265625,1.0,5.0,0.0,PASS,CORPUS_STRONG_LABEL
libritts:7800:283492:7800_283492_000005_000000,speech,LibriTTS,train-clean-100,7800,283492,7800_283492_000005_000000,libritts:7800:283492:7800_283492_000005_000000,train,/home/leiyuxin/soundspaces/source_assets/libritts/LibriTTS/train-clean-100/7800/283492/7800_283492_000005_000000.wav,6.87,0.0,5.0,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/speech_libritts_train_clean_100_v1/audio/train/7800_283492_7800_283492_000005_000000.wav,e240485e30aa2f198122be61d0692677e49bd383b5de39c8190d5a977896e580,24000,1,120000,float32,0.09716167829042542,0.53790283203125,1.0,5.0,0.0,PASS,CORPUS_STRONG_LABEL
libritts:8468:295198:8468_295198_000023_000000,speech,LibriTTS,train-clean-100,8468,295198,8468_295198_000023_000000,libritts:8468:295198:8468_295198_000023_000000,train,/home/leiyuxin/soundspaces/source_assets/libritts/LibriTTS/train-clean-100/8468/295198/8468_295198_000023_000000.wav,20.42,5.3,10.3,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/speech_libritts_train_clean_100_v1/audio/train/8468_295198_8468_295198_000023_000000.wav,9d0bd714a1812c6ce47a00bad0b2aee0600b03c85fec213c2f03def004e56368,24000,1,120000,float32,0.0776176389605251,0.49969482421875,1.0,5.0,0.0,PASS,CORPUS_STRONG_LABEL
libritts:7113:86041:7113_86041_000028_000000,speech,LibriTTS,train-clean-100,7113,86041,7113_86041_000028_000000,libritts:7113:86041:7113_86041_000028_000000,train,/home/leiyuxin/soundspaces/source_assets/libritts/LibriTTS/train-clean-100/7113/86041/7113_86041_000028_000000.wav,16.850083333333334,0.0,5.0,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/speech_libritts_train_clean_100_v1/audio/train/7113_86041_7113_86041_000028_000000.wav,dcd50337934799830db7386a7ccb518ec36392a58168c5a17ed02e9fa96bf46a,24000,1,120000,float32,0.06309846879653526,0.398834228515625,0.98,4.9,0.09999999999999964,PASS,CORPUS_STRONG_LABEL
libritts:839:130898:839_130898_000038_000002,speech,LibriTTS,train-clean-100,839,130898,839_130898_000038_000002,libritts:839:130898:839_130898_000038_000002,train,/home/leiyuxin/soundspaces/source_assets/libritts/LibriTTS/train-clean-100/839/130898/839_130898_000038_000002.wav,17.68,6.2,11.2,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/speech_libritts_train_clean_100_v1/audio/train/839_130898_839_130898_000038_000002.wav,74d4cfe0defc22d74613102acae08cd5f53ae1ca033a0278c0fe7161e7da4b27,24000,1,120000,float32,0.08217145165681229,0.604766845703125,1.0,5.0,0.0,PASS,CORPUS_STRONG_LABEL
