review_index,episode_id,class_name,scene_family,selection_reason,HUMAN_LISTENING_STATUS,semantic_correct,audible,artifact,comments
1,clsdoa_v1_ontology_v2_revision_pilot_001_ep_000041,speech,Replica,Replica representative,PENDING,PENDING,PENDING,PENDING,
2,clsdoa_v1_ontology_v2_revision_pilot_001_ep_000043,speech,MP3D,MP3D representative,PENDING,PENDING,PENDING,PENDING,
3,clsdoa_v1_ontology_v2_revision_pilot_001_ep_000043,speech,MP3D,deterministic low-observability sample,PENDING,PENDING,PENDING,PENDING,
4,clsdoa_v1_ontology_v2_revision_pilot_001_ep_000065,snoring,Replica,Replica representative,PENDING,PENDING,PENDING,PENDING,
5,clsdoa_v1_ontology_v2_revision_pilot_001_ep_000067,snoring,MP3D,MP3D representative,PENDING,PENDING,PENDING,PENDING,
6,clsdoa_v1_ontology_v2_revision_pilot_001_ep_000071,snoring,Replica,deterministic low-observability sample,PENDING,PENDING,PENDING,PENDING,
7,clsdoa_v1_ontology_v2_revision_pilot_001_ep_000073,dog,Replica,Replica representative,PENDING,PENDING,PENDING,PENDING,
8,clsdoa_v1_ontology_v2_revision_pilot_001_ep_000075,dog,MP3D,MP3D representative,PENDING,PENDING,PENDING,PENDING,
9,clsdoa_v1_ontology_v2_revision_pilot_001_ep_000073,dog,Replica,deterministic low-observability sample,PENDING,PENDING,PENDING,PENDING,
10,clsdoa_v1_ontology_v2_revision_pilot_001_ep_000081,instrumental_music,Replica,Replica representative,PENDING,PENDING,PENDING,PENDING,
11,clsdoa_v1_ontology_v2_revision_pilot_001_ep_000083,instrumental_music,MP3D,MP3D representative,PENDING,PENDING,PENDING,PENDING,
12,clsdoa_v1_ontology_v2_revision_pilot_001_ep_000082,instrumental_music,Replica,deterministic low-observability sample,PENDING,PENDING,PENDING,PENDING,
13,clsdoa_v1_ontology_v2_revision_pilot_001_ep_000001,coughing,Replica,old8 regression representative,PENDING,PENDING,PENDING,PENDING,
14,clsdoa_v1_ontology_v2_revision_pilot_001_ep_000009,laughing,Replica,old8 regression representative,PENDING,PENDING,PENDING,PENDING,
15,clsdoa_v1_ontology_v2_revision_pilot_001_ep_000017,keyboard_typing,Replica,old8 regression representative,PENDING,PENDING,PENDING,PENDING,
16,clsdoa_v1_ontology_v2_revision_pilot_001_ep_000025,vacuum_cleaner,Replica,old8 regression representative,PENDING,PENDING,PENDING,PENDING,
17,clsdoa_v1_ontology_v2_revision_pilot_001_ep_000033,clock_alarm,Replica,old8 regression representative,PENDING,PENDING,PENDING,PENDING,
18,clsdoa_v1_ontology_v2_revision_pilot_001_ep_000049,running_water,Replica,old8 regression representative,PENDING,PENDING,PENDING,PENDING,
19,clsdoa_v1_ontology_v2_revision_pilot_001_ep_000057,frying,Replica,old8 regression representative,PENDING,PENDING,PENDING,PENDING,
20,clsdoa_v1_ontology_v2_revision_pilot_001_ep_000089,printer,Replica,old8 regression representative,PENDING,PENDING,PENDING,PENDING,
