episode_id,scene_id,scene_family,yaw_deg,distance_m,elevation_deg,raw_native_status,raw_error,same_raw_max_diff,stored_roundtrip_max_diff,stored_repair_max_diff,wav_commutativity_max_diff,wav_commutativity_rms_diff,wav_rate,wav_shape,old_rir_shape,repaired_rir_shape,W_max_diff,Z_max_diff,horizontal_energy_relative_error,full_energy_relative_error,dtype,finite_nonzero,status
clsdoa_v1_pilot_004_ep_000001,replica.apartment_1,Replica,-27.531957204470917,5.261074456793334,-10.957175261054712,VALID,,6.984919309616089e-10,4.656612873077393e-10,0.0,1.862645149230957e-09,1.052963482210934e-10,24000,"[120000, 4]","[4, 32154]","[4, 32154]",0.0,0.0,1.0896564053090543e-08,3.829595318636575e-09,float32,True,PASS
clsdoa_v1_pilot_004_ep_000029,mp3d.17DRP5sb8fy,MP3D,11.296183463585109,3.2531325217329576,0.0,VALID,,3.725290298461914e-09,3.725290298461914e-09,0.0,3.725290298461914e-09,3.722184738126595e-10,24000,"[120000, 4]","[4, 33412]","[4, 33412]",0.0,0.0,4.4007815503250454e-08,1.3659683704841982e-08,float32,True,PASS
clsdoa_v1_pilot_004_ep_000081,replica.office_0,Replica,76.08798340944858,3.7977295349732847,-2.103146355263823,VALID,,7.450580596923828e-09,7.450580596923828e-09,0.0,3.725290298461914e-08,3.6308583154886367e-09,24000,"[120000, 4]","[4, 32949]","[4, 32949]",0.0,0.0,1.0657198061956322e-07,3.031458717820862e-08,float32,True,PASS
clsdoa_v1_pilot_004_ep_000109,mp3d.Vt2qJdWjCF2,MP3D,-60.05710028070085,4.243458793290187,6.7667904294975685,VALID,,1.4901161193847656e-08,3.725290298461914e-09,0.0,1.1175870895385742e-08,7.665116378511148e-10,24000,"[120000, 4]","[4, 34445]","[4, 34445]",0.0,0.0,1.420092525313595e-08,4.198047273196474e-09,float32,True,PASS
clsdoa_v1_pilot_004_ep_000161,replica.office_0,Replica,-323.0172602793634,1.340944304512247,-6.150054544088054,VALID,,7.450580596923828e-09,5.587935447692871e-09,0.0,3.725290298461914e-08,3.445311471827791e-09,24000,"[120000, 4]","[4, 33264]","[4, 33264]",0.0,0.0,3.263141148925458e-08,8.740150997422326e-09,float32,True,PASS
clsdoa_v1_pilot_004_ep_000189,mp3d.EDJbREhghzL,MP3D,247.2282444817128,1.1179458481255538,0.0,VALID,,1.4901161193847656e-08,1.4901161193847656e-08,0.0,4.470348358154297e-08,4.179563626802598e-09,24000,"[120000, 4]","[4, 32073]","[4, 32073]",0.0,0.0,7.253949222236677e-08,1.6094666575338112e-08,float32,True,PASS
clsdoa_v1_pilot_004_ep_000241,replica.room_0,Replica,14.4816505963885,2.223233574094782,-0.6391301553292358,VALID,,7.450580596923828e-09,7.450580596923828e-09,0.0,4.284083843231201e-08,5.4812754721057415e-09,24000,"[120000, 4]","[4, 37744]","[4, 37744]",0.0,0.0,1.0201410133625612e-07,3.0008216976405506e-08,float32,True,PASS
clsdoa_v1_pilot_004_ep_000269,mp3d.gTV8FGcVJC9,MP3D,-39.20219254222103,1.359104004312102,0.0,VALID,,3.725290298461914e-09,3.725290298461914e-09,0.0,2.2351741790771484e-08,2.6533774462738332e-09,24000,"[120000, 4]","[4, 45491]","[4, 45491]",0.0,0.0,2.5627650657236763e-08,6.838317396274235e-09,float32,True,PASS
clsdoa_v1_pilot_004_ep_000401,replica.apartment_1,Replica,97.9931462494296,1.46060173430602,0.0,VALID,,3.725290298461914e-09,3.725290298461914e-09,0.0,1.4901161193847656e-08,6.654949886926714e-10,24000,"[120000, 4]","[4, 35564]","[4, 35564]",0.0,0.0,1.0729850168240107e-07,3.563705428189955e-08,float32,True,PASS
clsdoa_v1_pilot_004_ep_000429,mp3d.Pm6F8kyY3z2,MP3D,152.85619739512137,2.67743358112006,-10.790982908778137,VALID,,7.450580596923828e-09,3.725290298461914e-09,0.0,3.725290298461914e-08,1.7348437488253602e-09,24000,"[120000, 4]","[4, 51618]","[4, 51618]",0.0,0.0,4.0555377092768226e-08,1.2335883017708287e-08,float32,True,PASS
