review_index,episode_id,class_name,scene_family,near_silence,HUMAN_LISTENING_STATUS,semantic_correct,audible,artifact,comments
1,clsdoa_v1_pilot_005_ep_000001,coughing,Replica,false,PASS,YES,YES,NONE,
2,clsdoa_v1_pilot_005_ep_000029,coughing,MP3D,false,PASS,YES,YES,NONE,
3,clsdoa_v1_pilot_005_ep_000081,laughing,Replica,false,PASS,YES,YES,NONE,
4,clsdoa_v1_pilot_005_ep_000109,laughing,MP3D,false,PASS,YES,YES,NONE,
5,clsdoa_v1_pilot_005_ep_000161,keyboard_typing,Replica,false,PASS,YES,YES,NONE,
6,clsdoa_v1_pilot_005_ep_000189,keyboard_typing,MP3D,false,PASS,YES,YES,NONE,
7,clsdoa_v1_pilot_005_ep_000241,vacuum_cleaner,Replica,false,PASS,YES,YES,NONE,
8,clsdoa_v1_pilot_005_ep_000269,vacuum_cleaner,MP3D,false,PASS,YES,YES,NONE,
9,clsdoa_v1_pilot_005_ep_000321,clock_alarm,Replica,false,PASS,YES,YES,NONE,
10,clsdoa_v1_pilot_005_ep_000349,clock_alarm,MP3D,false,PASS,YES,YES,NONE,
11,clsdoa_v1_pilot_005_ep_000401,speech,Replica,false,PASS,YES,YES,NONE,
12,clsdoa_v1_pilot_005_ep_000429,speech,MP3D,false,PASS,YES,YES,NONE,
13,clsdoa_v1_pilot_005_ep_000481,running_water,Replica,false,PASS,YES,YES,NONE,
14,clsdoa_v1_pilot_005_ep_000509,running_water,MP3D,false,PASS,YES,YES,NONE,
15,clsdoa_v1_pilot_005_ep_000561,frying,Replica,false,PASS,YES,YES,NONE,
16,clsdoa_v1_pilot_005_ep_000589,frying,MP3D,false,PASS,YES,YES,NONE,
17,clsdoa_v1_pilot_005_ep_000641,mechanical_fan,Replica,false,PASS,YES,YES,NONE,
18,clsdoa_v1_pilot_005_ep_000669,mechanical_fan,MP3D,false,PASS,YES,YES,NONE,
19,clsdoa_v1_pilot_005_ep_000721,microwave_oven,Replica,false,PASS,YES,YES,NONE,
20,clsdoa_v1_pilot_005_ep_000749,microwave_oven,MP3D,false,PASS,YES,YES,NONE,
21,clsdoa_v1_pilot_005_ep_000801,dishes,Replica,false,PASS,YES,YES,NONE,
22,clsdoa_v1_pilot_005_ep_000829,dishes,MP3D,false,PASS,YES,YES,NONE,
23,clsdoa_v1_pilot_005_ep_000881,printer,Replica,false,PASS,YES,YES,NONE,
24,clsdoa_v1_pilot_005_ep_000909,printer,MP3D,false,PASS,YES,YES,NONE,
25,clsdoa_v1_pilot_005_ep_000468,speech,MP3D,true,FAIL,NO,NO,NONE,target audio not heard
26,clsdoa_v1_pilot_005_ep_000868,dishes,MP3D,true,FAIL,NO,NO,NONE,target audio not heard
