pilot005_episode_id,class_id,source_dataset,source_clip_id,base_clip_id,scene_id,scene_family,split,distance_m,yaw_deg,azimuth_deg,elevation_deg,binaural_wav_path,foa_wav_path,reason_selected,near_silence,HUMAN_LISTENING_STATUS,semantic_correct,audible,artifact,comments
clsdoa_v1_pilot_005_ep_000001,0,ESC-50,ESC-50:251489,esc50:251489,replica.apartment_1,Replica,train,5.261074456793334,-27.531957204470917,22.5,-10.957175261054712,audio/binaural/clsdoa_v1_pilot_005_ep_000001.wav,audio/foa/clsdoa_v1_pilot_005_ep_000001.wav,frozen Step4F-R1/R2 representative set,false,PENDING,,,,
clsdoa_v1_pilot_005_ep_000029,0,ESC-50,ESC-50:157296,esc50:157296,mp3d.17DRP5sb8fy,MP3D,train,3.2531325217329576,11.296183463585109,-67.5,0.0,audio/binaural/clsdoa_v1_pilot_005_ep_000029.wav,audio/foa/clsdoa_v1_pilot_005_ep_000029.wav,frozen Step4F-R1/R2 representative set,false,PENDING,,,,
clsdoa_v1_pilot_005_ep_000081,1,ESC-50,ESC-50:253534,esc50:253534,replica.office_0,Replica,train,3.7977295349732847,76.08798340944858,-67.5,-2.103146355263823,audio/binaural/clsdoa_v1_pilot_005_ep_000081.wav,audio/foa/clsdoa_v1_pilot_005_ep_000081.wav,frozen Step4F-R1/R2 representative set,false,PENDING,,,,
clsdoa_v1_pilot_005_ep_000109,1,PSELD-selected FSD50K,PSELD-selected FSD50K:101673,fsd50k:101673,mp3d.Vt2qJdWjCF2,MP3D,train,4.243458793290187,-60.05710028070085,-22.5,6.7667904294975685,audio/binaural/clsdoa_v1_pilot_005_ep_000109.wav,audio/foa/clsdoa_v1_pilot_005_ep_000109.wav,frozen Step4F-R1/R2 representative set,false,PENDING,,,,
clsdoa_v1_pilot_005_ep_000161,2,ESC-50,ESC-50:222894,esc50:222894,replica.office_0,Replica,train,1.340944304512247,-323.0172602793634,157.50000000000006,-6.150054544088054,audio/binaural/clsdoa_v1_pilot_005_ep_000161.wav,audio/foa/clsdoa_v1_pilot_005_ep_000161.wav,frozen Step4F-R1/R2 representative set,false,PENDING,,,,
clsdoa_v1_pilot_005_ep_000189,2,ESC-50,ESC-50:120333,esc50:120333,mp3d.EDJbREhghzL,MP3D,train,1.1179458481255538,247.2282444817128,-157.50000000000003,0.0,audio/binaural/clsdoa_v1_pilot_005_ep_000189.wav,audio/foa/clsdoa_v1_pilot_005_ep_000189.wav,frozen Step4F-R1/R2 representative set,false,PENDING,,,,
clsdoa_v1_pilot_005_ep_000241,3,ESC-50,ESC-50:19872,esc50:19872,replica.room_0,Replica,train,2.223233574094782,14.4816505963885,-22.5,-0.6391301553292358,audio/binaural/clsdoa_v1_pilot_005_ep_000241.wav,audio/foa/clsdoa_v1_pilot_005_ep_000241.wav,frozen Step4F-R1/R2 representative set,false,PENDING,,,,
clsdoa_v1_pilot_005_ep_000269,3,ESC-50,ESC-50:172733,esc50:172733,mp3d.gTV8FGcVJC9,MP3D,train,1.359104004312102,-39.20219254222103,22.5,0.0,audio/binaural/clsdoa_v1_pilot_005_ep_000269.wav,audio/foa/clsdoa_v1_pilot_005_ep_000269.wav,frozen Step4F-R1/R2 representative set,false,PENDING,,,,
clsdoa_v1_pilot_005_ep_000321,4,ESC-50,ESC-50:204684,esc50:204684,replica.office_2,Replica,train,4.859959704838927,-72.6761030584911,-67.5,-5.905125044289712,audio/binaural/clsdoa_v1_pilot_005_ep_000321.wav,audio/foa/clsdoa_v1_pilot_005_ep_000321.wav,frozen Step4F-R1/R2 representative set,false,PENDING,,,,
clsdoa_v1_pilot_005_ep_000349,4,ESC-50,ESC-50:198841,esc50:198841,mp3d.8194nk5LbLH,MP3D,train,1.1984591813234553,-93.39671213399775,-22.5,0.0,audio/binaural/clsdoa_v1_pilot_005_ep_000349.wav,audio/foa/clsdoa_v1_pilot_005_ep_000349.wav,frozen Step4F-R1/R2 representative set,false,PENDING,,,,
clsdoa_v1_pilot_005_ep_000401,5,DESED isolated foreground,DESED isolated foreground:124810,desed:train:124810,replica.apartment_1,Replica,train,1.46060173430602,97.9931462494296,-22.5,0.0,audio/binaural/clsdoa_v1_pilot_005_ep_000401.wav,audio/foa/clsdoa_v1_pilot_005_ep_000401.wav,frozen Step4F-R1/R2 representative set,false,PENDING,,,,
clsdoa_v1_pilot_005_ep_000429,5,DESED isolated foreground,DESED isolated foreground:236487,desed:eval:236487,mp3d.Pm6F8kyY3z2,MP3D,train,2.67743358112006,152.85619739512137,-157.5,-10.790982908778137,audio/binaural/clsdoa_v1_pilot_005_ep_000429.wav,audio/foa/clsdoa_v1_pilot_005_ep_000429.wav,frozen Step4F-R1/R2 representative set,false,PENDING,,,,
