episode_id,scene_id,family,expected_sample,floor,round,ceil,peak_sample,peak_minus_expected,onset_sample,onset_minus_expected,current_error,expected_error,earliest_error,early4_error,early8_error,early16_error,direct_to_peak_amp_ratio,direct_to_peak_energy_ratio
clsdoa_v1_pilot_005_ep_000001,replica.apartment_1,Replica,368.1218278805831,368,368,369,488,119.87817211941689,360,-8.121827880583112,68.63806995542733,138.13787635463848,94.93999565653937,75.41621447103651,87.6239918162645,117.07033272231574,0.9973601698875427,0.0937768891453743
clsdoa_v1_pilot_005_ep_000002,replica.apartment_2,Replica,157.89396374404123,157,158,158,150,-7.89396374404123,150,-7.89396374404123,7.362491743669274,21.42395969255128,0.0,0.0,0.0,8.75811197468561,0.34094151854515076,0.12706395983695984
clsdoa_v1_pilot_005_ep_000003,replica.frl_apartment_0,Replica,158.6467132197528,158,159,159,151,-7.646713219752797,151,-7.646713219752797,4.26886823125797e-06,0.0,0.0,0.01368740516211552,0.01368740516211552,0.016193360411714274,4.0829047065926716e-05,1.6670836933130317e-09
clsdoa_v1_pilot_005_ep_000004,replica.frl_apartment_1,Replica,247.21384082525907,247,247,248,240,-7.213840825259069,240,-7.213840825259069,0.009757560022279285,0.012217769887459439,0.0,0.0,0.0,0.0,0.00010123057290911674,1.0247232395954597e-08
clsdoa_v1_pilot_005_ep_000005,replica.frl_apartment_3,Replica,196.2299227551112,196,196,197,189,-7.229922755111204,189,-7.229922755111204,3.157022832190633,0.0,0.016193360434221322,0.016193360434221322,0.016193360434221322,0.0,7.716554682701826e-05,5.953780579659451e-09
clsdoa_v1_pilot_005_ep_000006,replica.frl_apartment_4,Replica,404.85968386372843,404,405,405,397,-7.859683863728435,397,-7.859683863728435,1.7075472925031877e-06,0.0,0.0,0.016054920310660564,0.0,0.013217654814319146,9.638856136007234e-05,9.288404712037845e-09
clsdoa_v1_pilot_005_ep_000007,replica.frl_apartment_2,Replica,90.51786899616965,90,91,91,83,-7.517868996169653,83,-7.517868996169653,2.831646840510158e-06,0.018188819184010274,0.01802983248436681,0.0,0.0,0.006247454575590623,2.1199135517235845e-05,4.4936068754886094e-10
clsdoa_v1_pilot_005_ep_000008,replica.hotel_0,Replica,186.89956470525013,186,187,187,179,-7.899564705250128,179,-7.899564705250128,6.2155659652833185e-06,0.010721686541853888,0.0,0.006491803662185701,0.006491803662185701,0.0,4.6861990995239466e-05,2.196005599586215e-09
clsdoa_v1_pilot_005_ep_000009,replica.office_2,Replica,397.9967304504152,397,398,398,390,-7.996730450415214,390,-7.996730450415214,24.527684714901394,0.017880691880306963,0.0,0.013687405188743266,0.010604961056260543,0.006130688174539142,9.492166282143444e-05,9.015113100474537e-09
clsdoa_v1_pilot_005_ep_000010,replica.office_4,Replica,291.9659422509267,291,292,292,284,-7.965942250926673,284,-7.965942250926673,0.9498172550221419,0.0,0.021186215928719,0.0,0.0,0.0,7.162746624089777e-05,5.130959657151379e-09
