episode_id,family,split,yaw_deg,frozen_distance,independent_distance,distance_error,frozen_doa_x,frozen_doa_y,frozen_doa_z,independent_doa_x,independent_doa_y,independent_doa_z,vector_component_max_error,angular_error_deg,frozen_azimuth,independent_azimuth,azimuth_error_deg,frozen_elevation,independent_elevation,elevation_error_deg,status
clsdoa_v1_pilot_005_ep_000001,Replica,train,-27.531957204470917,5.261074456793334,5.261074456793334,0.0,0.375706932047216,-0.19007524189450606,-0.9070367708259759,0.37570693204721606,-0.19007524189450606,-0.9070367708259757,2.220446049250313e-16,0.0,22.5,22.5,0.0,-10.957175261054712,-10.957175261054713,1.7763568394002505e-15,PASS
clsdoa_v1_pilot_005_ep_000002,Replica,train,-22.15701154726382,2.2565678985085893,2.2565678985085893,0.0,-0.9209415595810639,0.07968666965524807,-0.3814664841315066,-0.9209415595810639,0.07968666965524807,-0.3814664841315066,0.0,8.537736462515939e-07,-67.5,-67.5,0.0,4.570555731066136,4.570555731066136,0.0,PASS
clsdoa_v1_pilot_005_ep_000003,Replica,train,-117.25141211291879,2.267325943098967,2.267325943098967,0.0,0.9238795325112866,0.0,-0.3826834323650898,0.9238795325112866,0.0,-0.3826834323650898,0.0,1.2074182697257333e-06,67.5,67.5,0.0,0.0,0.0,0.0,PASS
clsdoa_v1_pilot_005_ep_000004,Replica,train,-93.64575259641893,3.5330978084609943,3.5330978084609943,0.0,0.3820537283564878,0.05734356188123995,0.9223592925534385,0.3820537283564877,0.05734356188123995,0.9223592925534385,1.1102230246251565e-16,0.0,157.5,157.5,0.0,3.287347381436396,3.2873473814363963,4.440892098500626e-16,PASS
clsdoa_v1_pilot_005_ep_000005,Replica,train,-72.00540982028025,2.804452646041798,2.804452646041798,0.0,0.9238795325112867,0.0,0.3826834323650897,0.9238795325112866,0.0,0.3826834323650897,1.1102230246251565e-16,1.2074182697257333e-06,112.5,112.5,0.0,0.0,0.0,0.0,PASS
clsdoa_v1_pilot_005_ep_000006,Replica,train,-165.66607471903478,5.786119648552452,5.786119648552452,0.0,0.920423613363339,0.0864136987082678,0.38125194378354516,0.920423613363339,0.0864136987082678,0.38125194378354504,1.1102230246251565e-16,0.0,112.5,112.5,0.0,4.957322990754195,4.957322990754195,0.0,PASS
clsdoa_v1_pilot_005_ep_000007,Replica,train,-63.07294581794884,1.293651211070258,1.293651211070258,0.0,0.923642254831719,-0.02266250336934549,0.3825851487321645,0.923642254831719,-0.02266250336934549,0.3825851487321645,0.0,0.0,112.5,112.5,0.0,-1.2985769682643469,-1.2985769682643469,0.0,PASS
clsdoa_v1_pilot_005_ep_000008,Replica,train,-55.409835559014624,2.671106278912533,2.671106278912533,0.0,0.38177353643370643,0.06891800908405869,0.9216828494133928,0.38177353643370643,0.06891800908405869,0.9216828494133928,0.0,0.0,157.5,157.5,0.0,3.951843613204478,3.951843613204478,0.0,PASS
clsdoa_v1_pilot_005_ep_000009,Replica,train,-124.92824325760736,5.688036606020518,5.688036606020518,0.0,0.38268343236509,0.0,0.9238795325112868,0.38268343236509,0.0,0.9238795325112866,2.220446049250313e-16,0.0,157.5,157.5,0.0,0.0,0.0,0.0,PASS
clsdoa_v1_pilot_005_ep_000010,Replica,train,42.913167691468146,4.1726799246694934,4.1726799246694934,0.0,-0.3799261137826335,0.11982706774222651,0.9172227765937374,-0.3799261137826335,0.11982706774222651,0.9172227765937373,1.1102230246251565e-16,1.2074182697257333e-06,-157.5,-157.5,0.0,6.882122276341225,6.882122276341226,8.881784197001252e-16,PASS
clsdoa_v1_pilot_005_ep_000011,Replica,train,76.08798340944858,3.7977295349732847,3.7977295349732847,0.0,-0.9232571887896313,-0.03669858602931108,-0.38242564915512245,-0.9232571887896313,-0.03669858602931108,-0.38242564915512245,0.0,0.0,-67.5,-67.5,0.0,-2.103146355263823,-2.103146355263823,0.0,PASS
clsdoa_v1_pilot_005_ep_000012,Replica,train,-14.340832847104267,1.3959539064642936,1.3959539064642936,0.0,-0.9238795325112866,0.0,-0.3826834323650897,-0.9238795325112866,0.0,-0.3826834323650897,0.0,1.478779333471098e-06,-67.5,-67.5,0.0,0.0,0.0,0.0,PASS
clsdoa_v1_pilot_005_ep_000013,Replica,train,249.84926533269805,3.208284648020208,3.208284648020208,0.0,-0.8841712346276258,-0.2900217708476507,0.3662357168429271,-0.8841712346276258,-0.2900217708476507,0.3662357168429271,0.0,0.0,-112.50000000000004,-112.50000000000004,0.0,-16.859259415659917,-16.859259415659917,0.0,PASS
clsdoa_v1_pilot_005_ep_000014,Replica,train,149.4816505963885,2.223233574094782,2.223233574094782,0.0,-0.38265962350985305,-0.011154694221757213,0.9238220528500695,-0.382659623509853,-0.011154694221757213,0.9238220528500695,5.551115123125783e-17,8.537736462515939e-07,-157.5,-157.5,0.0,-0.6391301553292358,-0.6391301553292358,0.0,PASS
