source_clip_id,base_clip_id,canonical_class_id,canonical_class,temporal_type,source_dataset,source_label,mapping_type,original_id,original_dataset_split,raw_relpath,raw_sha256,original_sample_rate,original_channels,original_duration_sec,license_raw,license_status,provenance_source,pretrain_seen_status,source_asset_root_id,decode_ok,finite,duration_sec,sample_rate,channels,peak_abs,rms_dbfs,dc_offset,clip_fraction,silence_or_low_activity_ratio,active_duration_estimate_sec,auto_qc_status,auto_qc_reason
esc50:19111:clsdoa_v1_srcprep_v1:1-19111-A-24,esc50:19111,0,coughing,transient,ESC-50,coughing,EXACT,19111,fold_1,raw/esc50/ESC-50-master/audio/1-19111-A-24.wav,ab2afe6d0ee0de5edc1f0107448077919c6ac94dcf59243497e6fcb333685438,44100,1,5.000000000,CC BY-NC 3.0; dataset-level license and attribution file,DATASET_LEVEL_VERIFIED,https://github.com/karolpiczak/ESC-50; meta/esc50.csv; src_file=19111 take=A,unknown,clsdoa_v1,true,true,5.000000000,44100,1,0.828277588,-27.142267,-0.000025428,0.000000000,0.964126984,0.179365079,AUTO_PASS,
esc50:19118:clsdoa_v1_srcprep_v1:1-19118-A-24,esc50:19118,0,coughing,transient,ESC-50,coughing,EXACT,19118,fold_1,raw/esc50/ESC-50-master/audio/1-19118-A-24.wav,4fb6197f72791e50c465de8f1f715a7a3f93f7afab62dfa130f28d500303d8d9,44100,1,5.000000000,CC BY-NC 3.0; dataset-level license and attribution file,DATASET_LEVEL_VERIFIED,https://github.com/karolpiczak/ESC-50; meta/esc50.csv; src_file=19118 take=A,unknown,clsdoa_v1,true,true,5.000000000,44100,1,0.096557617,-49.285463,-0.000009990,0.000000000,0.980879819,0.095600907,AUTO_FLAG,mostly_silence_or_low_activity
esc50:30830:clsdoa_v1_srcprep_v1:1-30830-A-24,esc50:30830,0,coughing,transient,ESC-50,coughing,EXACT,30830,fold_1,raw/esc50/ESC-50-master/audio/1-30830-A-24.wav,e0374e3191067ad9a63df3ae9157e0ca44a36f4f1fa7586982609565683f6a13,44100,1,5.000000000,CC BY-NC 3.0; dataset-level license and attribution file,DATASET_LEVEL_VERIFIED,https://github.com/karolpiczak/ESC-50; meta/esc50.csv; src_file=30830 take=A,unknown,clsdoa_v1,true,true,5.000000000,44100,1,0.841979980,-25.699502,-0.000048796,0.000000000,0.940131519,0.299342404,AUTO_PASS,
esc50:52266:clsdoa_v1_srcprep_v1:1-52266-A-24,esc50:52266,0,coughing,transient,ESC-50,coughing,EXACT,52266,fold_1,raw/esc50/ESC-50-master/audio/1-52266-A-24.wav,dbf47513fb47c7cac8eb44110871b57ac9c51daf874d9185250fea1081e8917f,44100,1,5.000000000,CC BY-NC 3.0; dataset-level license and attribution file,DATASET_LEVEL_VERIFIED,https://github.com/karolpiczak/ESC-50; meta/esc50.csv; src_file=52266 take=A,unknown,clsdoa_v1,true,true,5.000000000,44100,1,0.455200195,-32.580119,0.000007871,0.000000000,0.949873016,0.250634921,AUTO_PASS,
esc50:52323:clsdoa_v1_srcprep_v1:1-52323-A-24,esc50:52323,0,coughing,transient,ESC-50,coughing,EXACT,52323,fold_1,raw/esc50/ESC-50-master/audio/1-52323-A-24.wav,74d2b6a06d461e16b869c4ed5d3a83c5af698fe3650f1ac395976de974638d80,44100,1,5.000000000,CC BY-NC 3.0; dataset-level license and attribution file,DATASET_LEVEL_VERIFIED,https://github.com/karolpiczak/ESC-50; meta/esc50.csv; src_file=52323 take=A,unknown,clsdoa_v1,true,true,5.000000000,44100,1,0.317260742,-32.059510,0.000025280,0.000000000,0.904154195,0.479229025,AUTO_PASS,
esc50:53663:clsdoa_v1_srcprep_v1:1-53663-A-24,esc50:53663,0,coughing,transient,ESC-50,coughing,EXACT,53663,fold_1,raw/esc50/ESC-50-master/audio/1-53663-A-24.wav,325713c6d3370316b849ad7398d9a9c744e3a6a0ce31a7b5360c0d18c7a03b79,44100,1,5.000000000,CC BY-NC 3.0; dataset-level license and attribution file,DATASET_LEVEL_VERIFIED,https://github.com/karolpiczak/ESC-50; meta/esc50.csv; src_file=53663 take=A,unknown,clsdoa_v1,true,true,5.000000000,44100,1,0.560455322,-30.735508,-0.000691402,0.000000000,0.937950113,0.310249433,AUTO_PASS,
esc50:58792:clsdoa_v1_srcprep_v1:1-58792-A-24,esc50:58792,0,coughing,transient,ESC-50,coughing,EXACT,58792,fold_1,raw/esc50/ESC-50-master/audio/1-58792-A-24.wav,ef5ceff5e8ff5ff73d3d35f7a6bf677b9ac52a89c0ccefe8a891bca52a6c80a9,44100,1,5.000000000,CC BY-NC 3.0; dataset-level license and attribution file,DATASET_LEVEL_VERIFIED,https://github.com/karolpiczak/ESC-50; meta/esc50.csv; src_file=58792 take=A,unknown,clsdoa_v1,true,true,5.000000000,44100,1,1.000000000,-9.723661,-0.000347603,0.043759637,0.693265306,1.533673469,AUTO_FLAG,severe_clipping_candidate
esc50:63679:clsdoa_v1_srcprep_v1:1-63679-A-24,esc50:63679,0,coughing,transient,ESC-50,coughing,EXACT,63679,fold_1,raw/esc50/ESC-50-master/audio/1-63679-A-24.wav,d6905ec0b2937aae9bf3a2bcb35950d2d5dec0c7dcd8414af9a45f3116d3272a,44100,1,5.000000000,CC BY-NC 3.0; dataset-level license and attribution file,DATASET_LEVEL_VERIFIED,https://github.com/karolpiczak/ESC-50; meta/esc50.csv; src_file=63679 take=A,unknown,clsdoa_v1,true,true,5.000000000,44100,1,0.643188477,-23.240058,-0.001018626,0.000000000,0.848371882,0.758140590,AUTO_PASS,
esc50:108017:clsdoa_v1_srcprep_v1:2-108017-A-24,esc50:108017,0,coughing,transient,ESC-50,coughing,EXACT,108017,fold_2,raw/esc50/ESC-50-master/audio/2-108017-A-24.wav,0835f06693f5560d89f59de280351f1afbb90b839edacde718bb336726a5fa25,44100,1,5.000000000,CC BY-NC 3.0; dataset-level license and attribution file,DATASET_LEVEL_VERIFIED,https://github.com/karolpiczak/ESC-50; meta/esc50.csv; src_file=108017 take=A,unknown,clsdoa_v1,true,true,5.000000000,44100,1,1.000000000,-14.358701,0.001630972,0.010104308,0.810376417,0.948117914,AUTO_FLAG,severe_clipping_candidate
esc50:123896:clsdoa_v1_srcprep_v1:2-123896-A-24,esc50:123896,0,coughing,transient,ESC-50,coughing,EXACT,123896,fold_2,raw/esc50/ESC-50-master/audio/2-123896-A-24.wav,4e1720d93a23e4e005b688fdddeed30a6cb3ff04ebf706921de8d01d0d1dfa3e,44100,1,5.000000000,CC BY-NC 3.0; dataset-level license and attribution file,DATASET_LEVEL_VERIFIED,https://github.com/karolpiczak/ESC-50; meta/esc50.csv; src_file=123896 take=A,unknown,clsdoa_v1,true,true,5.000000000,44100,1,1.000000000,-23.295959,-0.000034248,0.000344671,0.938385488,0.308072562,AUTO_PASS,
