source_clip_id,base_clip_id,canonical_class_id,canonical_class,temporal_type,source_dataset,source_label,mapping_type,original_id,original_dataset_split,raw_relpath,raw_sha256,original_sample_rate,original_channels,original_duration_sec,license_raw,license_status,provenance_source,pretrain_seen_status,source_asset_root_id,resource_status,decode_ok,finite,duration_sec,sample_rate,channels,peak_abs,rms_dbfs,dc_offset,clip_fraction,silence_or_low_activity_ratio,active_duration_estimate_sec,auto_qc_status,auto_qc_reason
desed:eval:22627_0:clsdoa_v1_srcprep_v1,desed:eval:22627,4,clock_alarm,transient,DESED isolated foreground,Alarm_bell_ringing,SEMANTIC_STRONG,22627,eval,raw/desed/extracted/audio/eval/soundbank/foreground/Alarm_bell_ringing/22627_0.wav,e8a560a411124c0477f52ee59370d487b0ad6c90447971a681b6ecc3d78f412a,44100,1,0.093673469,http://creativecommons.org/licenses/by/3.0/,PER_RECORDING_METADATA,DESED_synth_soundbank.tar.gz; audio/eval/soundbank/foreground/Alarm_bell_ringing/22627_0.wav ; official eval license TSV,unknown,clsdoa_v1,PRESENT,true,true,0.093673469,44100,1,0.170806885,-25.804634,0.000018919,0.000000000,0.401597676,0.056054422,AUTO_FLAG,mostly_silence_or_low_activity
desed:eval:22627_1:clsdoa_v1_srcprep_v1,desed:eval:22627,4,clock_alarm,transient,DESED isolated foreground,Alarm_bell_ringing,SEMANTIC_STRONG,22627,eval,raw/desed/extracted/audio/eval/soundbank/foreground/Alarm_bell_ringing/22627_1.wav,f2f7f7b9ca9eeadb22521f0f29a891d39c5057351c64f3e7605ea19d36784a4f,44100,1,0.095170068,http://creativecommons.org/licenses/by/3.0/,PER_RECORDING_METADATA,DESED_synth_soundbank.tar.gz; audio/eval/soundbank/foreground/Alarm_bell_ringing/22627_1.wav ; official eval license TSV,unknown,clsdoa_v1,PRESENT,true,true,0.095170068,44100,1,0.171569824,-25.804647,-0.000013815,0.000000000,0.410054801,0.056145125,AUTO_FLAG,mostly_silence_or_low_activity
desed:eval:22627_2:clsdoa_v1_srcprep_v1,desed:eval:22627,4,clock_alarm,transient,DESED isolated foreground,Alarm_bell_ringing,SEMANTIC_STRONG,22627,eval,raw/desed/extracted/audio/eval/soundbank/foreground/Alarm_bell_ringing/22627_2.wav,ded23e299366d1342d306ab09392e4c6ff9469670eb0bd8c94bc749cfaee4e87,44100,1,0.095419501,http://creativecommons.org/licenses/by/3.0/,PER_RECORDING_METADATA,DESED_synth_soundbank.tar.gz; audio/eval/soundbank/foreground/Alarm_bell_ringing/22627_2.wav ; official eval license TSV,unknown,clsdoa_v1,PRESENT,true,true,0.095419501,44100,1,0.168151855,-25.797300,0.000050215,0.000000000,0.409933460,0.056303855,AUTO_FLAG,mostly_silence_or_low_activity
desed:eval:22627_3:clsdoa_v1_srcprep_v1,desed:eval:22627,4,clock_alarm,transient,DESED isolated foreground,Alarm_bell_ringing,SEMANTIC_STRONG,22627,eval,raw/desed/extracted/audio/eval/soundbank/foreground/Alarm_bell_ringing/22627_3.wav,b35268d5405d8a0ed92c0fb79a8189e3ce92397336b38a62f8b87a44f9be26d4,44100,1,0.095442177,http://creativecommons.org/licenses/by/3.0/,PER_RECORDING_METADATA,DESED_synth_soundbank.tar.gz; audio/eval/soundbank/foreground/Alarm_bell_ringing/22627_3.wav ; official eval license TSV,unknown,clsdoa_v1,PRESENT,true,true,0.095442177,44100,1,0.172027588,-25.802634,0.000010970,0.000000000,0.413162271,0.056009070,AUTO_FLAG,mostly_silence_or_low_activity
desed:eval:233645_0:clsdoa_v1_srcprep_v1,desed:eval:233645,4,clock_alarm,transient,DESED isolated foreground,Alarm_bell_ringing,SEMANTIC_STRONG,233645,eval,raw/desed/extracted/audio/eval/soundbank/foreground/Alarm_bell_ringing/233645_0.wav,6b98ee0bd32e93ff8eaac5273993a94adc5745ec0dfbb71813519cca1c550dc8,44100,1,1.016190476,http://creativecommons.org/licenses/by-nc/3.0/,PER_RECORDING_METADATA,DESED_synth_soundbank.tar.gz; audio/eval/soundbank/foreground/Alarm_bell_ringing/233645_0.wav ; official eval license TSV,unknown,clsdoa_v1,PRESENT,true,true,1.016190476,44100,1,0.221557617,-24.496287,-0.001620634,0.000000000,0.430668987,0.578548753,AUTO_PASS,
desed:eval:233645_1:clsdoa_v1_srcprep_v1,desed:eval:233645,4,clock_alarm,transient,DESED isolated foreground,Alarm_bell_ringing,SEMANTIC_STRONG,233645,eval,raw/desed/extracted/audio/eval/soundbank/foreground/Alarm_bell_ringing/233645_1.wav,5620a7d91c961f1dfedb410973c8c498658ef7d5bb0ba64982b95e90e53a12ec,44100,1,1.000521542,http://creativecommons.org/licenses/by-nc/3.0/,PER_RECORDING_METADATA,DESED_synth_soundbank.tar.gz; audio/eval/soundbank/foreground/Alarm_bell_ringing/233645_1.wav ; official eval license TSV,unknown,clsdoa_v1,PRESENT,true,true,1.000521542,44100,1,0.202606201,-25.080066,0.000539589,0.000000000,0.483353353,0.516916100,AUTO_PASS,
desed:eval:233645_10:clsdoa_v1_srcprep_v1,desed:eval:233645,4,clock_alarm,transient,DESED isolated foreground,Alarm_bell_ringing,SEMANTIC_STRONG,233645,eval,raw/desed/extracted/audio/eval/soundbank/foreground/Alarm_bell_ringing/233645_10.wav,e7076506c98e389a7c8dd6cd1620f870a181dbcc9ec422e3b13442159e06fa68,44100,1,0.994784580,http://creativecommons.org/licenses/by-nc/3.0/,PER_RECORDING_METADATA,DESED_synth_soundbank.tar.gz; audio/eval/soundbank/foreground/Alarm_bell_ringing/233645_10.wav ; official eval license TSV,unknown,clsdoa_v1,PRESENT,true,true,0.994784580,44100,1,0.483764648,-17.140251,-0.000272527,0.000000000,0.575495783,0.422290249,AUTO_PASS,
desed:eval:233645_11:clsdoa_v1_srcprep_v1,desed:eval:233645,4,clock_alarm,transient,DESED isolated foreground,Alarm_bell_ringing,SEMANTIC_STRONG,233645,eval,raw/desed/extracted/audio/eval/soundbank/foreground/Alarm_bell_ringing/233645_11.wav,af29effdbb6d2d143c078864cbc18ad7b4d647069cdca5f6cd85a0d855f8a814,44100,1,1.035464853,http://creativecommons.org/licenses/by-nc/3.0/,PER_RECORDING_METADATA,DESED_synth_soundbank.tar.gz; audio/eval/soundbank/foreground/Alarm_bell_ringing/233645_11.wav ; official eval license TSV,unknown,clsdoa_v1,PRESENT,true,true,1.035464853,44100,1,0.606719971,-16.749818,-0.000806535,0.000000000,0.543031710,0.473174603,AUTO_PASS,
desed:eval:233645_12:clsdoa_v1_srcprep_v1,desed:eval:233645,4,clock_alarm,transient,DESED isolated foreground,Alarm_bell_ringing,SEMANTIC_STRONG,233645,eval,raw/desed/extracted/audio/eval/soundbank/foreground/Alarm_bell_ringing/233645_12.wav,b6ab58a8622a9672794013e54f0cb4cf227891cc7afd5d6db23125dc15211828,44100,1,1.036938776,http://creativecommons.org/licenses/by-nc/3.0/,PER_RECORDING_METADATA,DESED_synth_soundbank.tar.gz; audio/eval/soundbank/foreground/Alarm_bell_ringing/233645_12.wav ; official eval license TSV,unknown,clsdoa_v1,PRESENT,true,true,1.036938776,44100,1,0.516845703,-17.238910,0.000625960,0.000000000,0.587985742,0.427233560,AUTO_PASS,
desed:eval:233645_13:clsdoa_v1_srcprep_v1,desed:eval:233645,4,clock_alarm,transient,DESED isolated foreground,Alarm_bell_ringing,SEMANTIC_STRONG,233645,eval,raw/desed/extracted/audio/eval/soundbank/foreground/Alarm_bell_ringing/233645_13.wav,744e48bf02c7051d583e92ad512ac16fbc7e7463cbab0749850d8f973d379da2,44100,1,1.007392290,http://creativecommons.org/licenses/by-nc/3.0/,PER_RECORDING_METADATA,DESED_synth_soundbank.tar.gz; audio/eval/soundbank/foreground/Alarm_bell_ringing/233645_13.wav ; official eval license TSV,unknown,clsdoa_v1,PRESENT,true,true,1.007392290,44100,1,0.490692139,-17.447284,0.000459476,0.000000000,0.583194526,0.419886621,AUTO_PASS,
desed:eval:233645_14:clsdoa_v1_srcprep_v1,desed:eval:233645,4,clock_alarm,transient,DESED isolated foreground,Alarm_bell_ringing,SEMANTIC_STRONG,233645,eval,raw/desed/extracted/audio/eval/soundbank/foreground/Alarm_bell_ringing/233645_14.wav,c7ed22dee5284f76f7dac56840e142184dc429651fda749104a6b7923fd5b70b,44100,1,0.111904762,http://creativecommons.org/licenses/by-nc/3.0/,PER_RECORDING_METADATA,DESED_synth_soundbank.tar.gz; audio/eval/soundbank/foreground/Alarm_bell_ringing/233645_14.wav ; official eval license TSV,unknown,clsdoa_v1,PRESENT,true,true,0.111904762,44100,1,0.072875977,-29.330801,0.005129965,0.000000000,0.174468085,0.092380952,AUTO_FLAG,mostly_silence_or_low_activity
desed:eval:233645_15:clsdoa_v1_srcprep_v1,desed:eval:233645,4,clock_alarm,transient,DESED isolated foreground,Alarm_bell_ringing,SEMANTIC_STRONG,233645,eval,raw/desed/extracted/audio/eval/soundbank/foreground/Alarm_bell_ringing/233645_15.wav,d42d99670d44de8b5e7355e70e23b7801f5f3532db1a3d534ab651344ce71713,44100,1,1.119433107,http://creativecommons.org/licenses/by-nc/3.0/,PER_RECORDING_METADATA,DESED_synth_soundbank.tar.gz; audio/eval/soundbank/foreground/Alarm_bell_ringing/233645_15.wav ; official eval license TSV,unknown,clsdoa_v1,PRESENT,true,true,1.119433107,44100,1,0.558105469,-17.536823,0.000251689,0.000000000,0.570705127,0.480566893,AUTO_PASS,
desed:eval:233645_16:clsdoa_v1_srcprep_v1,desed:eval:233645,4,clock_alarm,transient,DESED isolated foreground,Alarm_bell_ringing,SEMANTIC_STRONG,233645,eval,raw/desed/extracted/audio/eval/soundbank/foreground/Alarm_bell_ringing/233645_16.wav,c3056946b36aaf1df202b80d2a9915ca6cc4a25d833eacf93b3511f2ddb46f3a,44100,1,0.096666667,http://creativecommons.org/licenses/by-nc/3.0/,PER_RECORDING_METADATA,DESED_synth_soundbank.tar.gz; audio/eval/soundbank/foreground/Alarm_bell_ringing/233645_16.wav ; official eval license TSV,unknown,clsdoa_v1,PRESENT,true,true,0.096666667,44100,1,0.096527100,-26.420985,-0.001358437,0.000000000,0.193525686,0.077959184,AUTO_FLAG,mostly_silence_or_low_activity
desed:eval:233645_17:clsdoa_v1_srcprep_v1,desed:eval:233645,4,clock_alarm,transient,DESED isolated foreground,Alarm_bell_ringing,SEMANTIC_STRONG,233645,eval,raw/desed/extracted/audio/eval/soundbank/foreground/Alarm_bell_ringing/233645_17.wav,4dcf1840e6916bbbae1b04d930b6e4dbaae178253bf4a8bc5bd88b7e88eabeb7,44100,1,1.012312925,http://creativecommons.org/licenses/by-nc/3.0/,PER_RECORDING_METADATA,DESED_synth_soundbank.tar.gz; audio/eval/soundbank/foreground/Alarm_bell_ringing/233645_17.wav ; official eval license TSV,unknown,clsdoa_v1,PRESENT,true,true,1.012312925,44100,1,0.680084229,-14.599783,0.000642292,0.000000000,0.576686155,0.428526077,AUTO_PASS,
