source_clip_id,base_clip_id,canonical_class_id,canonical_class,temporal_type,source_dataset,source_label,mapping_type,original_id,original_dataset_split,raw_relpath,raw_sha256,original_sample_rate,original_channels,original_duration_sec,license_raw,license_status,provenance_source,pretrain_seen_status,source_asset_root_id,resource_status
desed:eval:22627_0:clsdoa_v1_srcprep_v1,desed:eval:22627,4,clock_alarm,transient,DESED isolated foreground,Alarm_bell_ringing,SEMANTIC_STRONG,22627,eval,raw/desed/extracted/audio/eval/soundbank/foreground/Alarm_bell_ringing/22627_0.wav,e8a560a411124c0477f52ee59370d487b0ad6c90447971a681b6ecc3d78f412a,44100,1,0.093673469,http://creativecommons.org/licenses/by/3.0/,PER_RECORDING_METADATA,DESED_synth_soundbank.tar.gz; audio/eval/soundbank/foreground/Alarm_bell_ringing/22627_0.wav ; official eval license TSV,unknown,clsdoa_v1,PRESENT
desed:eval:22627_1:clsdoa_v1_srcprep_v1,desed:eval:22627,4,clock_alarm,transient,DESED isolated foreground,Alarm_bell_ringing,SEMANTIC_STRONG,22627,eval,raw/desed/extracted/audio/eval/soundbank/foreground/Alarm_bell_ringing/22627_1.wav,f2f7f7b9ca9eeadb22521f0f29a891d39c5057351c64f3e7605ea19d36784a4f,44100,1,0.095170068,http://creativecommons.org/licenses/by/3.0/,PER_RECORDING_METADATA,DESED_synth_soundbank.tar.gz; audio/eval/soundbank/foreground/Alarm_bell_ringing/22627_1.wav ; official eval license TSV,unknown,clsdoa_v1,PRESENT
desed:eval:22627_2:clsdoa_v1_srcprep_v1,desed:eval:22627,4,clock_alarm,transient,DESED isolated foreground,Alarm_bell_ringing,SEMANTIC_STRONG,22627,eval,raw/desed/extracted/audio/eval/soundbank/foreground/Alarm_bell_ringing/22627_2.wav,ded23e299366d1342d306ab09392e4c6ff9469670eb0bd8c94bc749cfaee4e87,44100,1,0.095419501,http://creativecommons.org/licenses/by/3.0/,PER_RECORDING_METADATA,DESED_synth_soundbank.tar.gz; audio/eval/soundbank/foreground/Alarm_bell_ringing/22627_2.wav ; official eval license TSV,unknown,clsdoa_v1,PRESENT
desed:eval:22627_3:clsdoa_v1_srcprep_v1,desed:eval:22627,4,clock_alarm,transient,DESED isolated foreground,Alarm_bell_ringing,SEMANTIC_STRONG,22627,eval,raw/desed/extracted/audio/eval/soundbank/foreground/Alarm_bell_ringing/22627_3.wav,b35268d5405d8a0ed92c0fb79a8189e3ce92397336b38a62f8b87a44f9be26d4,44100,1,0.095442177,http://creativecommons.org/licenses/by/3.0/,PER_RECORDING_METADATA,DESED_synth_soundbank.tar.gz; audio/eval/soundbank/foreground/Alarm_bell_ringing/22627_3.wav ; official eval license TSV,unknown,clsdoa_v1,PRESENT
desed:eval:233645_0:clsdoa_v1_srcprep_v1,desed:eval:233645,4,clock_alarm,transient,DESED isolated foreground,Alarm_bell_ringing,SEMANTIC_STRONG,233645,eval,raw/desed/extracted/audio/eval/soundbank/foreground/Alarm_bell_ringing/233645_0.wav,6b98ee0bd32e93ff8eaac5273993a94adc5745ec0dfbb71813519cca1c550dc8,44100,1,1.016190476,http://creativecommons.org/licenses/by-nc/3.0/,PER_RECORDING_METADATA,DESED_synth_soundbank.tar.gz; audio/eval/soundbank/foreground/Alarm_bell_ringing/233645_0.wav ; official eval license TSV,unknown,clsdoa_v1,PRESENT
desed:eval:233645_1:clsdoa_v1_srcprep_v1,desed:eval:233645,4,clock_alarm,transient,DESED isolated foreground,Alarm_bell_ringing,SEMANTIC_STRONG,233645,eval,raw/desed/extracted/audio/eval/soundbank/foreground/Alarm_bell_ringing/233645_1.wav,5620a7d91c961f1dfedb410973c8c498658ef7d5bb0ba64982b95e90e53a12ec,44100,1,1.000521542,http://creativecommons.org/licenses/by-nc/3.0/,PER_RECORDING_METADATA,DESED_synth_soundbank.tar.gz; audio/eval/soundbank/foreground/Alarm_bell_ringing/233645_1.wav ; official eval license TSV,unknown,clsdoa_v1,PRESENT
desed:eval:233645_10:clsdoa_v1_srcprep_v1,desed:eval:233645,4,clock_alarm,transient,DESED isolated foreground,Alarm_bell_ringing,SEMANTIC_STRONG,233645,eval,raw/desed/extracted/audio/eval/soundbank/foreground/Alarm_bell_ringing/233645_10.wav,e7076506c98e389a7c8dd6cd1620f870a181dbcc9ec422e3b13442159e06fa68,44100,1,0.994784580,http://creativecommons.org/licenses/by-nc/3.0/,PER_RECORDING_METADATA,DESED_synth_soundbank.tar.gz; audio/eval/soundbank/foreground/Alarm_bell_ringing/233645_10.wav ; official eval license TSV,unknown,clsdoa_v1,PRESENT
desed:eval:233645_11:clsdoa_v1_srcprep_v1,desed:eval:233645,4,clock_alarm,transient,DESED isolated foreground,Alarm_bell_ringing,SEMANTIC_STRONG,233645,eval,raw/desed/extracted/audio/eval/soundbank/foreground/Alarm_bell_ringing/233645_11.wav,af29effdbb6d2d143c078864cbc18ad7b4d647069cdca5f6cd85a0d855f8a814,44100,1,1.035464853,http://creativecommons.org/licenses/by-nc/3.0/,PER_RECORDING_METADATA,DESED_synth_soundbank.tar.gz; audio/eval/soundbank/foreground/Alarm_bell_ringing/233645_11.wav ; official eval license TSV,unknown,clsdoa_v1,PRESENT
desed:eval:233645_12:clsdoa_v1_srcprep_v1,desed:eval:233645,4,clock_alarm,transient,DESED isolated foreground,Alarm_bell_ringing,SEMANTIC_STRONG,233645,eval,raw/desed/extracted/audio/eval/soundbank/foreground/Alarm_bell_ringing/233645_12.wav,b6ab58a8622a9672794013e54f0cb4cf227891cc7afd5d6db23125dc15211828,44100,1,1.036938776,http://creativecommons.org/licenses/by-nc/3.0/,PER_RECORDING_METADATA,DESED_synth_soundbank.tar.gz; audio/eval/soundbank/foreground/Alarm_bell_ringing/233645_12.wav ; official eval license TSV,unknown,clsdoa_v1,PRESENT
desed:eval:233645_13:clsdoa_v1_srcprep_v1,desed:eval:233645,4,clock_alarm,transient,DESED isolated foreground,Alarm_bell_ringing,SEMANTIC_STRONG,233645,eval,raw/desed/extracted/audio/eval/soundbank/foreground/Alarm_bell_ringing/233645_13.wav,744e48bf02c7051d583e92ad512ac16fbc7e7463cbab0749850d8f973d379da2,44100,1,1.007392290,http://creativecommons.org/licenses/by-nc/3.0/,PER_RECORDING_METADATA,DESED_synth_soundbank.tar.gz; audio/eval/soundbank/foreground/Alarm_bell_ringing/233645_13.wav ; official eval license TSV,unknown,clsdoa_v1,PRESENT
