source_clip_id,base_clip_id,canonical_class_id,canonical_class,temporal_type,source_dataset,source_label,mapping_type,audioset_mid,pseld_class_id,original_id,original_dataset_split,raw_relpath,raw_sha256,original_sample_rate,original_channels,original_duration_sec,license_raw,license_status,provenance_source,pretrain_seen_status,source_asset_root_id,resource_status,missing_waveform,metadata_mismatch,duplicate_id,inventory_issue
fsd50k:108017:clsdoa_v1_srcprep_v1,fsd50k:108017,0,coughing,transient,PSELD-selected FSD50K,Cough,SEMANTIC_STRONG,/m/01b_21,11,108017,test,raw/pseld_fsd50k/extracted_audio/FSD50K.eval_audio/108017.wav,c382f6d224682d000efd2cd381cfaf9bc367f53ea4ab8d50e8023f0c0b1c19e9,44100,1,5.461337868,http://creativecommons.org/licenses/sampling+/1.0/,DATASET_LEVEL_VERIFIED,PSELDNets 170-class crosswalk; SELD-Data-Generator _m_01b_21.tsv; FSD50K clip 108017,likely_yes,clsdoa_v1,PRESENT,false,false,false,
fsd50k:109638:clsdoa_v1_srcprep_v1,fsd50k:109638,0,coughing,transient,PSELD-selected FSD50K,Cough,SEMANTIC_STRONG,/m/01b_21,11,109638,train,raw/pseld_fsd50k/extracted_audio/FSD50K.dev_audio/109638.wav,9dce177cd4a7f012a05442795a60eb577050a0d4ca3cd6af3c4b1a9a7a5f5bf8,44100,1,4.304149660,http://creativecommons.org/licenses/by/3.0/,DATASET_LEVEL_VERIFIED,PSELDNets 170-class crosswalk; SELD-Data-Generator _m_01b_21.tsv; FSD50K clip 109638,likely_yes,clsdoa_v1,PRESENT,false,false,false,
fsd50k:109639:clsdoa_v1_srcprep_v1,fsd50k:109639,0,coughing,transient,PSELD-selected FSD50K,Cough,SEMANTIC_STRONG,/m/01b_21,11,109639,train,raw/pseld_fsd50k/extracted_audio/FSD50K.dev_audio/109639.wav,99df6cafbb6aa0d6afe5ad68895bff43c32bd95ddc4cdbb3858b95af2f50bd9b,44100,1,3.141995465,http://creativecommons.org/licenses/by/3.0/,DATASET_LEVEL_VERIFIED,PSELDNets 170-class crosswalk; SELD-Data-Generator _m_01b_21.tsv; FSD50K clip 109639,likely_yes,clsdoa_v1,PRESENT,false,false,false,
fsd50k:109640:clsdoa_v1_srcprep_v1,fsd50k:109640,0,coughing,transient,PSELD-selected FSD50K,Cough,SEMANTIC_STRONG,/m/01b_21,11,109640,train,raw/pseld_fsd50k/extracted_audio/FSD50K.dev_audio/109640.wav,c9e7f19b892d44eb705abf55a8dfcbe5ec4488a6b858c383ae196330d9ebbd08,44100,1,4.843424036,http://creativecommons.org/licenses/by/3.0/,DATASET_LEVEL_VERIFIED,PSELDNets 170-class crosswalk; SELD-Data-Generator _m_01b_21.tsv; FSD50K clip 109640,likely_yes,clsdoa_v1,PRESENT,false,false,false,
fsd50k:110582:clsdoa_v1_srcprep_v1,fsd50k:110582,0,coughing,transient,PSELD-selected FSD50K,Cough,SEMANTIC_STRONG,/m/01b_21,11,110582,test,raw/pseld_fsd50k/extracted_audio/FSD50K.eval_audio/110582.wav,153bdd1c66fb50d324ffa36c7c29592fe56f937cd34c87be4d315cd11372266b,44100,1,11.347165533,http://creativecommons.org/licenses/sampling+/1.0/,DATASET_LEVEL_VERIFIED,PSELDNets 170-class crosswalk; SELD-Data-Generator _m_01b_21.tsv; FSD50K clip 110582,likely_yes,clsdoa_v1,PRESENT,false,false,false,
fsd50k:120213:clsdoa_v1_srcprep_v1,fsd50k:120213,0,coughing,transient,PSELD-selected FSD50K,Cough,SEMANTIC_STRONG,/m/01b_21,11,120213,train,raw/pseld_fsd50k/extracted_audio/FSD50K.dev_audio/120213.wav,85d589799861027e648eda24098479745d281ab2b4aee00eee081e9cfdb8c21f,44100,1,29.866666667,http://creativecommons.org/licenses/by/3.0/,DATASET_LEVEL_VERIFIED,PSELDNets 170-class crosswalk; SELD-Data-Generator _m_01b_21.tsv; FSD50K clip 120213,likely_yes,clsdoa_v1,PRESENT,false,false,false,
fsd50k:125403:clsdoa_v1_srcprep_v1,fsd50k:125403,0,coughing,transient,PSELD-selected FSD50K,Cough,SEMANTIC_STRONG,/m/01b_21,11,125403,train,raw/pseld_fsd50k/extracted_audio/FSD50K.dev_audio/125403.wav,a0dc09c2e79813c3f7e0f52b5f778f9643d86b834f6d1da2d0602e7c9dd2f70b,44100,1,13.173333333,http://creativecommons.org/publicdomain/zero/1.0/,DATASET_LEVEL_VERIFIED,PSELDNets 170-class crosswalk; SELD-Data-Generator _m_01b_21.tsv; FSD50K clip 125403,likely_yes,clsdoa_v1,PRESENT,false,false,false,
fsd50k:125418:clsdoa_v1_srcprep_v1,fsd50k:125418,0,coughing,transient,PSELD-selected FSD50K,Cough,SEMANTIC_STRONG,/m/01b_21,11,125418,train,raw/pseld_fsd50k/extracted_audio/FSD50K.dev_audio/125418.wav,2d4515e0466f8041ebe50b2ab9a1eea4b60714131f6fe9d4fcb211cff1b20708,44100,1,3.705056689,http://creativecommons.org/publicdomain/zero/1.0/,DATASET_LEVEL_VERIFIED,PSELDNets 170-class crosswalk; SELD-Data-Generator _m_01b_21.tsv; FSD50K clip 125418,likely_yes,clsdoa_v1,PRESENT,false,false,false,
fsd50k:132601:clsdoa_v1_srcprep_v1,fsd50k:132601,0,coughing,transient,PSELD-selected FSD50K,Cough,SEMANTIC_STRONG,/m/01b_21,11,132601,train,raw/pseld_fsd50k/extracted_audio/FSD50K.dev_audio/132601.wav,00925dc85b6f4eface697f95fd4e5fabaa836b51e6523b217aeef9f404e162ae,44100,1,1.470272109,http://creativecommons.org/licenses/by/3.0/,DATASET_LEVEL_VERIFIED,PSELDNets 170-class crosswalk; SELD-Data-Generator _m_01b_21.tsv; FSD50K clip 132601,likely_yes,clsdoa_v1,PRESENT,false,false,false,
fsd50k:13799:clsdoa_v1_srcprep_v1,fsd50k:13799,0,coughing,transient,PSELD-selected FSD50K,Cough,SEMANTIC_STRONG,/m/01b_21,11,13799,train,raw/pseld_fsd50k/extracted_audio/FSD50K.dev_audio/13799.wav,d5cc97c2e3504e9b7feba8cb20559c8701394eeb7ec1b9dc22f2d3772f7b23f5,44100,1,4.113287982,http://creativecommons.org/licenses/sampling+/1.0/,DATASET_LEVEL_VERIFIED,PSELDNets 170-class crosswalk; SELD-Data-Generator _m_01b_21.tsv; FSD50K clip 13799,likely_yes,clsdoa_v1,PRESENT,false,false,false,
fsd50k:142603:clsdoa_v1_srcprep_v1,fsd50k:142603,0,coughing,transient,PSELD-selected FSD50K,Cough,SEMANTIC_STRONG,/m/01b_21,11,142603,train,raw/pseld_fsd50k/extracted_audio/FSD50K.dev_audio/142603.wav,127b3c4eb813bbb4a37c9d281c70148b1699c04ec0ad4e706a1e8b23d34c4107,44100,1,2.352018141,http://creativecommons.org/publicdomain/zero/1.0/,DATASET_LEVEL_VERIFIED,PSELDNets 170-class crosswalk; SELD-Data-Generator _m_01b_21.tsv; FSD50K clip 142603,likely_yes,clsdoa_v1,PRESENT,false,false,false,
fsd50k:142604:clsdoa_v1_srcprep_v1,fsd50k:142604,0,coughing,transient,PSELD-selected FSD50K,Cough,SEMANTIC_STRONG,/m/01b_21,11,142604,train,raw/pseld_fsd50k/extracted_audio/FSD50K.dev_audio/142604.wav,c98c7426ed4607eda19f2c461f1f1dba074e6e33b87227263cf30611c0ef29c9,44100,1,7.224013605,http://creativecommons.org/publicdomain/zero/1.0/,DATASET_LEVEL_VERIFIED,PSELDNets 170-class crosswalk; SELD-Data-Generator _m_01b_21.tsv; FSD50K clip 142604,likely_yes,clsdoa_v1,PRESENT,false,false,false,
