episode_id,class_id,scene_id,scene_family,split,source_clip_id,base_clip_id,source_dataset,source_gain_db,source_offset_sec,distance_m,azimuth_project_deg,elevation_project_deg,wav_binaural_path,wav_foa_path,dry_source_path,dry_rms,dry_peak,timeline_rms_before_gain,gained_timeline_rms,binaural_final_rms,foa_final_rms,binaural_rir_energy,foa_rir_energy,direct_foa_status,direct_foa_angular_error_deg,direct_foa_expected_azimuth,direct_foa_estimated_azimuth,direct_binaural_early_ild_db,human_listening_status,semantic_review_status
clsdoa_v1_pilot_004_ep_000001,0,replica.apartment_1,Replica,train,ESC-50:251489,esc50:251489,ESC-50,1.8373564058362142,0.0,5.261074456793334,22.5,-10.957175261054712,audio/binaural/clsdoa_v1_pilot_004_ep_000001.wav,audio/foa/clsdoa_v1_pilot_004_ep_000001.wav,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/source_pool_pilot_001/wav/coughing/esc50__251489.wav,0.011390580457074168,0.252814918756485,0.011390580457074168,0.014073873899218091,0.0024689518023518512,0.000680214742375878,0.0516677779567558,0.00892376394427378,UNAVAILABLE_ZERO_RIR,,,,8.771067247864138,HUMAN LISTENING / SEMANTIC REVIEW REQUIRED,UNREVIEWED
clsdoa_v1_pilot_004_ep_000029,0,mp3d.17DRP5sb8fy,MP3D,train,ESC-50:157296,esc50:157296,ESC-50,-5.445252119925513,0.0,3.2531325217329576,-67.5,0.0,audio/binaural/clsdoa_v1_pilot_004_ep_000029.wav,audio/foa/clsdoa_v1_pilot_004_ep_000029.wav,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/source_pool_pilot_001/wav/coughing/esc50__157296.wav,0.01961777316375173,0.30255746841430664,0.01961777316375173,0.010480622660344389,0.008617684172101571,0.002652428270959985,1.0063637773749723,0.20078319613706114,PASS,22.592369370174534,67.5,44.907630629825455,11.461662383213953,HUMAN LISTENING / SEMANTIC REVIEW REQUIRED,UNREVIEWED
clsdoa_v1_pilot_004_ep_000081,1,replica.office_0,Replica,train,ESC-50:253534,esc50:253534,ESC-50,5.536414321503505,0.0,3.7977295349732847,-67.5,-2.103146355263823,audio/binaural/clsdoa_v1_pilot_004_ep_000081.wav,audio/foa/clsdoa_v1_pilot_004_ep_000081.wav,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/source_pool_pilot_001/wav/laughing/esc50__253534.wav,0.031089136025426872,0.24367468059062958,0.031089136025426872,0.058807046383979315,0.0689718915483437,0.024733310094348947,3.7925836301414892,0.737912239529239,PASS,151.86602402100365,67.5,-84.67596691601685,-10.403421799535902,HUMAN LISTENING / SEMANTIC REVIEW REQUIRED,UNREVIEWED
clsdoa_v1_pilot_004_ep_000109,1,mp3d.Vt2qJdWjCF2,MP3D,train,PSELD-selected FSD50K:101673,fsd50k:101673,PSELD-selected FSD50K,-2.380915903979699,1.910790429487348,4.243458793290187,-22.5,6.7667904294975685,audio/binaural/clsdoa_v1_pilot_004_ep_000109.wav,audio/foa/clsdoa_v1_pilot_004_ep_000109.wav,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/source_pool_pilot_001/wav/laughing/fsd50k__101673.wav,0.04199716952019691,0.1865648329257965,0.022512598292488115,0.01711511500435489,0.015545192827343578,0.005010891988863556,1.560538505811918,0.3528011686609814,PASS,118.74263354401573,22.500000000000004,142.6142099525481,6.98049804545594,HUMAN LISTENING / SEMANTIC REVIEW REQUIRED,UNREVIEWED
clsdoa_v1_pilot_004_ep_000161,2,replica.office_0,Replica,train,ESC-50:222894,esc50:222894,ESC-50,0.5404476991294772,0.0,1.340944304512247,157.50000000000006,-6.150054544088054,audio/binaural/clsdoa_v1_pilot_004_ep_000161.wav,audio/foa/clsdoa_v1_pilot_004_ep_000161.wav,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/source_pool_pilot_001/wav/keyboard_typing/esc50__222894.wav,0.028519227736912248,0.29194629192352295,0.028519227736912248,0.030350102202480814,0.09392682306060952,0.03286547637626667,5.543273989014554,1.2138701061239272,PASS,73.46962236504223,-157.50000000000006,128.53452250332768,11.819053225299163,HUMAN LISTENING / SEMANTIC REVIEW REQUIRED,UNREVIEWED
clsdoa_v1_pilot_004_ep_000189,2,mp3d.EDJbREhghzL,MP3D,train,ESC-50:120333,esc50:120333,ESC-50,0.09296346209175804,0.0,1.1179458481255538,-157.50000000000003,0.0,audio/binaural/clsdoa_v1_pilot_004_ep_000189.wav,audio/foa/clsdoa_v1_pilot_004_ep_000189.wav,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/source_pool_pilot_001/wav/keyboard_typing/esc50__120333.wav,0.030480549443617264,0.3545594811439514,0.030480549443617264,0.030808529520075355,0.33737309459400433,0.10021826207482197,6.357406460555899,1.3507583828353926,PASS,134.45648394417293,157.50000000000003,23.043516055827094,6.886641063491922,HUMAN LISTENING / SEMANTIC REVIEW REQUIRED,UNREVIEWED
clsdoa_v1_pilot_004_ep_000241,3,replica.room_0,Replica,train,ESC-50:19872,esc50:19872,ESC-50,4.100508473673717,0.0,2.223233574094782,-22.5,-0.6391301553292358,audio/binaural/clsdoa_v1_pilot_004_ep_000241.wav,audio/foa/clsdoa_v1_pilot_004_ep_000241.wav,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/source_pool_pilot_001/wav/vacuum_cleaner/esc50__19872.wav,0.053064246269460734,0.2156572788953781,0.053064246269460734,0.08507998590012918,0.0964605037905898,0.034102373984709215,3.2792695621457133,0.7306139021370516,PASS,28.96145353413208,22.5,-6.463294876618803,-2.091820693905496,HUMAN LISTENING / SEMANTIC REVIEW REQUIRED,UNREVIEWED
clsdoa_v1_pilot_004_ep_000269,3,mp3d.gTV8FGcVJC9,MP3D,train,ESC-50:172733,esc50:172733,ESC-50,-0.9901484714378257,0.0,1.359104004312102,22.5,0.0,audio/binaural/clsdoa_v1_pilot_004_ep_000269.wav,audio/foa/clsdoa_v1_pilot_004_ep_000269.wav,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/source_pool_pilot_001/wav/vacuum_cleaner/esc50__172733.wav,0.054832718436707686,0.17787455022335052,0.054832718436707686,0.04892516963626904,0.0629158840187885,0.019770507201596392,3.336938589447863,0.6396154353692806,PASS,78.40439182168483,-22.499999999999996,55.904391821684825,12.285002375550002,HUMAN LISTENING / SEMANTIC REVIEW REQUIRED,UNREVIEWED
clsdoa_v1_pilot_004_ep_000321,4,replica.office_2,Replica,train,ESC-50:204684,esc50:204684,ESC-50,5.791743263185084,0.0,4.859959704838927,-67.5,-5.905125044289712,audio/binaural/clsdoa_v1_pilot_004_ep_000321.wav,audio/foa/clsdoa_v1_pilot_004_ep_000321.wav,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/source_pool_pilot_001/wav/clock_alarm/esc50__204684.wav,0.04342605995742528,0.3329765498638153,0.04342605995742528,0.08459361596320107,0.05373899358433611,0.019966951006080792,1.5511453599825868,0.3328681620779824,PASS,143.45315544925586,67.5,-147.14779145763455,-6.804847352201301,HUMAN LISTENING / SEMANTIC REVIEW REQUIRED,UNREVIEWED
clsdoa_v1_pilot_004_ep_000349,4,mp3d.8194nk5LbLH,MP3D,train,ESC-50:198841,esc50:198841,ESC-50,1.644227300271339,0.0,1.1984591813234553,-22.5,0.0,audio/binaural/clsdoa_v1_pilot_004_ep_000349.wav,audio/foa/clsdoa_v1_pilot_004_ep_000349.wav,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/source_pool_pilot_001/wav/clock_alarm/esc50__198841.wav,0.04458579208623892,0.22758732736110687,0.04458579208623892,0.0538775513828111,0.049509877539776266,0.022811881486660756,3.554023952949667,0.7788726521195102,PASS,173.20657550671942,22.5,-150.70657550671942,-5.447000126751095,HUMAN LISTENING / SEMANTIC REVIEW REQUIRED,UNREVIEWED
