episode_id,scene_id,scene_family,split,class_id,source_clip_id,base_clip_id,distance_m,azimuth_project_deg,elevation_project_deg,binaural_final_rms,foa_final_rms,direct_foa_status,human_listening_status,semantic_review_status
clsdoa_v1_pilot_004_ep_000001,replica.apartment_1,Replica,train,0,ESC-50:251489,esc50:251489,5.261074456793334,22.5,-10.957175261054712,0.0024689518023518512,0.000680214742375878,UNAVAILABLE_ZERO_RIR,PENDING - HUMAN CONTENT REVIEW REMAINS,PENDING - HUMAN CONTENT REVIEW REMAINS
clsdoa_v1_pilot_004_ep_000029,mp3d.17DRP5sb8fy,MP3D,train,0,ESC-50:157296,esc50:157296,3.2531325217329576,-67.5,0.0,0.008617684172101571,0.002652428270959985,PASS,PENDING - HUMAN CONTENT REVIEW REMAINS,PENDING - HUMAN CONTENT REVIEW REMAINS
clsdoa_v1_pilot_004_ep_000081,replica.office_0,Replica,train,1,ESC-50:253534,esc50:253534,3.7977295349732847,-67.5,-2.103146355263823,0.0689718915483437,0.024733310094348947,PASS,PENDING - HUMAN CONTENT REVIEW REMAINS,PENDING - HUMAN CONTENT REVIEW REMAINS
clsdoa_v1_pilot_004_ep_000109,mp3d.Vt2qJdWjCF2,MP3D,train,1,PSELD-selected FSD50K:101673,fsd50k:101673,4.243458793290187,-22.5,6.7667904294975685,0.015545192827343578,0.005010891988863556,PASS,PENDING - HUMAN CONTENT REVIEW REMAINS,PENDING - HUMAN CONTENT REVIEW REMAINS
clsdoa_v1_pilot_004_ep_000161,replica.office_0,Replica,train,2,ESC-50:222894,esc50:222894,1.340944304512247,157.50000000000006,-6.150054544088054,0.09392682306060952,0.03286547637626667,PASS,PENDING - HUMAN CONTENT REVIEW REMAINS,PENDING - HUMAN CONTENT REVIEW REMAINS
clsdoa_v1_pilot_004_ep_000189,mp3d.EDJbREhghzL,MP3D,train,2,ESC-50:120333,esc50:120333,1.1179458481255538,-157.50000000000003,0.0,0.33737309459400433,0.10021826207482197,PASS,PENDING - HUMAN CONTENT REVIEW REMAINS,PENDING - HUMAN CONTENT REVIEW REMAINS
clsdoa_v1_pilot_004_ep_000241,replica.room_0,Replica,train,3,ESC-50:19872,esc50:19872,2.223233574094782,-22.5,-0.6391301553292358,0.0964605037905898,0.034102373984709215,PASS,PENDING - HUMAN CONTENT REVIEW REMAINS,PENDING - HUMAN CONTENT REVIEW REMAINS
clsdoa_v1_pilot_004_ep_000269,mp3d.gTV8FGcVJC9,MP3D,train,3,ESC-50:172733,esc50:172733,1.359104004312102,22.5,0.0,0.0629158840187885,0.019770507201596392,PASS,PENDING - HUMAN CONTENT REVIEW REMAINS,PENDING - HUMAN CONTENT REVIEW REMAINS
clsdoa_v1_pilot_004_ep_000321,replica.office_2,Replica,train,4,ESC-50:204684,esc50:204684,4.859959704838927,-67.5,-5.905125044289712,0.05373899358433611,0.019966951006080792,PASS,PENDING - HUMAN CONTENT REVIEW REMAINS,PENDING - HUMAN CONTENT REVIEW REMAINS
clsdoa_v1_pilot_004_ep_000349,mp3d.8194nk5LbLH,MP3D,train,4,ESC-50:198841,esc50:198841,1.1984591813234553,-22.5,0.0,0.049509877539776266,0.022811881486660756,PASS,PENDING - HUMAN CONTENT REVIEW REMAINS,PENDING - HUMAN CONTENT REVIEW REMAINS
clsdoa_v1_pilot_004_ep_000401,replica.apartment_1,Replica,train,5,DESED isolated foreground:124810,desed:train:124810,1.46060173430602,-22.5,0.0,0.013599002851618875,0.00461025884859527,PASS,PENDING - HUMAN CONTENT REVIEW REMAINS,PENDING - HUMAN CONTENT REVIEW REMAINS
clsdoa_v1_pilot_004_ep_000429,mp3d.Pm6F8kyY3z2,MP3D,train,5,DESED isolated foreground:236487,desed:eval:236487,2.67743358112006,-157.5,-10.790982908778137,0.062085424188441964,0.01994116337616364,PASS,PENDING - HUMAN CONTENT REVIEW REMAINS,PENDING - HUMAN CONTENT REVIEW REMAINS
clsdoa_v1_pilot_004_ep_000481,replica.office_0,Replica,train,6,DESED isolated foreground:60830,desed:train:60830,3.7977295349732847,-112.5,-2.103146355263823,0.025079563841511738,0.008788892833277709,PASS,PENDING - HUMAN CONTENT REVIEW REMAINS,PENDING - HUMAN CONTENT REVIEW REMAINS
clsdoa_v1_pilot_004_ep_000509,mp3d.EDJbREhghzL,MP3D,train,6,DESED isolated foreground:49385,desed:train:49385,1.6114864311798702,-67.5,-3.5910805390743152,0.026381708287738156,0.009929090634302818,PASS,PENDING - HUMAN CONTENT REVIEW REMAINS,PENDING - HUMAN CONTENT REVIEW REMAINS
