probe_id,scene_id,scene_family,direction,yaw_deg,distance_m,expected_direct_sample,detected_peak_sample,sample_offset,fit_window,raw_shape,raw_energy,raw_finite_nonzero,native_ls_error_deg,canonical_ls_error_deg,estimator_agreement_cosine,binaural_shape,binaural_energy,binaural_peak,binaural_finite,binaural_nonzero
r2_replica_apartment_0_front_y0,replica.apartment_0,Replica,front,0.0,1.25,87.46355685131195,80,-7.4635568513119495,"[48, 113]","[4, 2128]",0.22974470612087708,True,90.0,0.0,1.0,"[2, 336]",0.39855293318149904,0.28172507882118225,True,True
r2_replica_apartment_0_back_y45,replica.apartment_0,Replica,back,45.0,1.25,87.46355685131195,80,-7.4635568513119495,"[48, 113]","[4, 2128]",0.22974481577534195,True,44.99998545618183,90.00001439764493,1.0,"[2, 336]",0.948205615640354,0.7229073643684387,True,True
r2_replica_apartment_0_left_y90,replica.apartment_0,Replica,left,90.0,1.25,87.46355685131195,80,-7.4635568513119495,"[48, 113]","[4, 2128]",0.22974470612087708,True,90.0,180.0,1.0,"[2, 336]",0.948203880395032,0.7229071855545044,True,True
r2_replica_apartment_0_right_y0,replica.apartment_0,Replica,right,0.0,1.25,87.46355685131195,80,-7.4635568513119495,"[48, 113]","[4, 2128]",0.22974480155387544,True,90.0,0.0,1.0,"[2, 336]",0.9482049790405249,0.7229073643684387,True,True
r2_replica_apartment_0_front-left_y45,replica.apartment_0,Replica,front-left,45.0,1.25,87.46355685131195,80,-7.4635568513119495,"[48, 113]","[4, 2128]",0.22974470612087708,True,90.0,90.00000000000001,1.0,"[2, 336]",0.8240313867633565,0.6409597992897034,True,True
r2_replica_apartment_0_front-right_y90,replica.apartment_0,Replica,front-right,90.0,1.25,87.46355685131195,80,-7.4635568513119495,"[48, 113]","[4, 2128]",0.22974481577534195,True,59.99999160312338,179.99998489520226,1.0,"[2, 336]",0.49123937539636964,0.5193989872932434,True,True
r2_replica_apartment_1_front_y0,replica.apartment_1,Replica,front,0.0,1.25,87.46355685131195,80,-7.4635568513119495,"[48, 113]","[4, 2128]",0.22974470612087708,True,90.0,0.0,1.0,"[2, 336]",0.39855293318149904,0.28172507882118225,True,True
r2_replica_apartment_1_back_y45,replica.apartment_1,Replica,back,45.0,1.25,87.46355685131195,80,-7.4635568513119495,"[48, 113]","[4, 2128]",0.22974476323543036,True,45.0,90.0,1.0000000000000002,"[2, 336]",0.9482043674213981,0.722907304763794,True,True
r2_replica_apartment_1_left_y90,replica.apartment_1,Replica,left,90.0,1.25,87.46355685131195,80,-7.4635568513119495,"[48, 113]","[4, 2128]",0.22974470612087708,True,90.0,180.0,1.0,"[2, 336]",0.948203880395032,0.7229071855545044,True,True
r2_replica_apartment_1_right_y0,replica.apartment_1,Replica,right,0.0,1.25,87.46355685131195,80,-7.4635568513119495,"[48, 113]","[4, 2128]",0.22974470612087705,True,90.0,0.0,1.0,"[2, 336]",0.9482042652668874,0.722907304763794,True,True
r2_replica_apartment_1_front-left_y45,replica.apartment_1,Replica,front-left,45.0,1.25,87.46355685131195,80,-7.4635568513119495,"[48, 113]","[4, 2128]",0.22974470612087708,True,90.0,90.0,1.0,"[2, 336]",0.8240313867633565,0.6409597992897034,True,True
r2_replica_apartment_1_front-right_y90,replica.apartment_1,Replica,front-right,90.0,1.25,87.46355685131195,80,-7.4635568513119495,"[48, 113]","[4, 2128]",0.22974476323543036,True,59.99999999999999,180.0,1.0000000000000002,"[2, 336]",0.49123849717576706,0.5193989276885986,True,True
