source_clip_id,canonical_class,source_dataset,source_label,original_id,base_clip_id,identity_key,audio_path,canonical_path,canonical_relpath,canonical_wav_sha256,canonical_pcm_sha256,raw_sha256,split,split_version,manual_decision,mapping_type,auto_qc_status,auto_qc_reasons,license_status,license_raw,provenance_source,pretrain_seen_status,resource_status,canonical_sample_rate_hz,canonical_channels,canonical_dtype,canonical_duration_sec,crop_policy,crop_start_sec,crop_end_sec,source_offset_sec,normalization_method,active_rms_before_dbfs,active_rms_after_dbfs,peak_before,peak_after,gain_db,peak_guard_limited,pilot_eligible
ESC-50:102435,clock_alarm,ESC-50,clock_alarm,102435,esc50:102435,ESC-50:esc50:102435,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/raw/esc50/ESC-50-master/audio/2-102435-A-37.wav,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/source_pool_pilot_001/wav/clock_alarm/esc50__102435.wav,wav/clock_alarm/esc50__102435.wav,fb8d5f805d9c315cc04b9cf53d739fcf32bac2350f85653523b759f3e7000bec,44ca4f3a2d1ebb717678b3e79eb3d589e75159e2275cb6006c3aec53aa1f088b,6917ce398c3cb7cb426c65224f59e63794eeabd732ad2f399c23f5b091bbcd12,train,clsdoa_source_split_v2_stratified,ACCEPT,EXACT,AUTO_PASS,,DATASET_LEVEL_VERIFIED,CC BY-NC 3.0; dataset-level license and attribution file,https://github.com/karolpiczak/ESC-50; meta/esc50.csv; src_file=102435 take=A,unknown,PRESENT,24000,1,float32,5.000000000,preserve_full_short_source,0.000000000,5.000000000,,active_rms_v1,-8.871713667,-24.000000127,1.400993347,0.245483205,-15.128286333,false,true
ESC-50:104475,clock_alarm,ESC-50,clock_alarm,104475,esc50:104475,ESC-50:esc50:104475,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/raw/esc50/ESC-50-master/audio/2-104475-A-37.wav,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/source_pool_pilot_001/wav/clock_alarm/esc50__104475.wav,wav/clock_alarm/esc50__104475.wav,2325ae3a5203090d7d3212777756f972cdc07a7143e3285736b43bfe3d0f2f41,7de2814eaae94cbb3751d6d9831b47a1ed91d450100d94338cf1cc0e5cc1b1d8,3b2f085ba02fd9a1070e28f42ba5c132bde45be96753349258f566bb24172d69,train,clsdoa_source_split_v2_stratified,ACCEPT,EXACT,AUTO_PASS,,DATASET_LEVEL_VERIFIED,CC BY-NC 3.0; dataset-level license and attribution file,https://github.com/karolpiczak/ESC-50; meta/esc50.csv; src_file=104475 take=A,unknown,PRESENT,24000,1,float32,5.000000000,preserve_full_short_source,0.000000000,5.000000000,,active_rms_v1,-26.669474529,-24.000000127,0.087595277,0.119111702,2.669474529,false,true
ESC-50:104476,clock_alarm,ESC-50,clock_alarm,104476,esc50:104476,ESC-50:esc50:104476,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/raw/esc50/ESC-50-master/audio/2-104476-A-37.wav,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/source_pool_pilot_001/wav/clock_alarm/esc50__104476.wav,wav/clock_alarm/esc50__104476.wav,c9e71ff47556bdd7bc0d5b2f4fbb0b03d36f71a91f7e6d0e197578c2ba464131,f19b106f2e096148dfdc9d9ac8ca110e5e1d02daec171e908ea6e715e7eceaf1,eb652724ba0a12a9665073a2b7130c685c67ac69c2d55cd8fd6c5b4593e28548,train,clsdoa_source_split_v2_stratified,ACCEPT,EXACT,AUTO_PASS,,DATASET_LEVEL_VERIFIED,CC BY-NC 3.0; dataset-level license and attribution file,https://github.com/karolpiczak/ESC-50; meta/esc50.csv; src_file=104476 take=A,unknown,PRESENT,24000,1,float32,5.000000000,preserve_full_short_source,0.000000000,5.000000000,,active_rms_v1,-16.644849502,-24.000000127,0.314349413,0.134789214,-7.355150498,false,true
ESC-50:117116,clock_alarm,ESC-50,clock_alarm,117116,esc50:117116,ESC-50:esc50:117116,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/raw/esc50/ESC-50-master/audio/2-117116-A-37.wav,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/source_pool_pilot_001/wav/clock_alarm/esc50__117116.wav,wav/clock_alarm/esc50__117116.wav,1e57a9edf7f19a8cf64442f82efde7f54907c6b2a82491153c0183cd825a5adc,7820756801e5974d69f5fb866f2a73c37e7ea91c42ca4169ae021d62d587454f,c1d8172cb41dd3338c2f48475c13b0bccaa99515c111e24f1a638a76774f0979,val,clsdoa_source_split_v2_stratified,ACCEPT,EXACT,AUTO_PASS,,DATASET_LEVEL_VERIFIED,CC BY-NC 3.0; dataset-level license and attribution file,https://github.com/karolpiczak/ESC-50; meta/esc50.csv; src_file=117116 take=A,unknown,PRESENT,24000,1,float32,5.000000000,preserve_full_short_source,0.000000000,5.000000000,,active_rms_v1,-18.691603515,-24.000000127,0.234873906,0.127472043,-5.308396485,false,true
ESC-50:117883,clock_alarm,ESC-50,clock_alarm,117883,esc50:117883,ESC-50:esc50:117883,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/raw/esc50/ESC-50-master/audio/3-117883-A-37.wav,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/source_pool_pilot_001/wav/clock_alarm/esc50__117883.wav,wav/clock_alarm/esc50__117883.wav,138f765cbb19a9dcd7661744fb19dfe1dfd3d0b4238576274c5f05e365d04cd4,92255be7d844104a569e895a57a5ec0dcf86120480e4826d6f9a88bd09e73ca9,93064c312872ee32c74e893a7b2a7fa2b8fa83170a17ce6267227186178ddcdb,train,clsdoa_source_split_v2_stratified,ACCEPT,EXACT,AUTO_PASS,,DATASET_LEVEL_VERIFIED,CC BY-NC 3.0; dataset-level license and attribution file,https://github.com/karolpiczak/ESC-50; meta/esc50.csv; src_file=117883 take=A,unknown,PRESENT,24000,1,float32,5.000000000,preserve_full_short_source,0.000000000,5.000000000,,active_rms_v1,-21.139465596,-24.000000127,0.247440189,0.178009629,-2.860534404,false,true
ESC-50:120526,clock_alarm,ESC-50,clock_alarm,120526,esc50:120526,ESC-50:esc50:120526,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/raw/esc50/ESC-50-master/audio/3-120526-A-37.wav,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/source_pool_pilot_001/wav/clock_alarm/esc50__120526.wav,wav/clock_alarm/esc50__120526.wav,b24af9d3b0d14284e3b2c4062db48d3ede5f9b43ca609466e1f27248cf31f530,9dff128158724958989a9a4e750646806a60e7c2bb705ed8b8c9c79d5fcb3937,9e45012b982eeb50eeaeb84f1ba27035027f1d5967b593707840306e880e4ab3,test,clsdoa_source_split_v2_stratified,ACCEPT,EXACT,AUTO_PASS,,DATASET_LEVEL_VERIFIED,CC BY-NC 3.0; dataset-level license and attribution file,https://github.com/karolpiczak/ESC-50; meta/esc50.csv; src_file=120526 take=A,unknown,PRESENT,24000,1,float32,5.000000000,preserve_full_short_source,0.000000000,5.000000000,,active_rms_v1,-20.478582486,-23.999999102,0.194754794,0.129842624,-3.521417514,false,true
ESC-50:132340,clock_alarm,ESC-50,clock_alarm,132340,esc50:132340,ESC-50:esc50:132340,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/raw/esc50/ESC-50-master/audio/3-132340-A-37.wav,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/source_pool_pilot_001/wav/clock_alarm/esc50__132340.wav,wav/clock_alarm/esc50__132340.wav,03d4c075879dbd3e6fb6b82ab3d8df2df3d81091b7109923d585433e1147ae49,d01e9dab3f45a06c146cb354a921ad18876c7bfd613caa80823222c08b88aedb,822124583e9e57218af01ea91f97c04d373deea3548d106d822106670486a3c8,train,clsdoa_source_split_v2_stratified,ACCEPT,EXACT,AUTO_PASS,,DATASET_LEVEL_VERIFIED,CC BY-NC 3.0; dataset-level license and attribution file,https://github.com/karolpiczak/ESC-50; meta/esc50.csv; src_file=132340 take=A,unknown,PRESENT,24000,1,float32,5.000000000,preserve_full_short_source,0.000000000,5.000000000,,active_rms_v1,-12.261982954,-24.000000127,0.723522425,0.187305763,-11.738017046,false,true
ESC-50:13613,clock_alarm,ESC-50,clock_alarm,13613,esc50:13613,ESC-50:esc50:13613,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/raw/esc50/ESC-50-master/audio/1-13613-A-37.wav,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/source_pool_pilot_001/wav/clock_alarm/esc50__13613.wav,wav/clock_alarm/esc50__13613.wav,ad93cda4ee8033b9606f2014ab09f6785fe3b55c303533440804f0a2e9e42f64,e05e0c794bf61df85f5f51e54881e06962e18b033fbab41112dc3e772f20e2d2,2e28b25e14611723cdcc0becfa36468a8d0329a0c141e4f1d894bd6bb5773f34,train,clsdoa_source_split_v2_stratified,ACCEPT,EXACT,AUTO_PASS,,DATASET_LEVEL_VERIFIED,CC BY-NC 3.0; dataset-level license and attribution file,https://github.com/karolpiczak/ESC-50; meta/esc50.csv; src_file=13613 take=A,unknown,PRESENT,24000,1,float32,5.000000000,preserve_full_short_source,0.000000000,5.000000000,,active_rms_v1,-14.672390457,-24.000001153,0.817356646,0.279274374,-9.327609543,false,true
ESC-50:139958,clock_alarm,ESC-50,clock_alarm,139958,esc50:139958,ESC-50:esc50:139958,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/raw/esc50/ESC-50-master/audio/3-139958-A-37.wav,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/source_pool_pilot_001/wav/clock_alarm/esc50__139958.wav,wav/clock_alarm/esc50__139958.wav,bc1baa162da9559f27e0f06498f8e73bc0b242e18af57ec14d3c2dabac37d0a9,46c326ffba8b5644df2fa54230607852df9bd449fa0e3427b58b3e653e2dfc7d,b863f4119feb3ca8b754fa25ce918542b8421947823df89ef53948af726a21f3,train,clsdoa_source_split_v2_stratified,ACCEPT,EXACT,AUTO_PASS,,DATASET_LEVEL_VERIFIED,CC BY-NC 3.0; dataset-level license and attribution file,https://github.com/karolpiczak/ESC-50; meta/esc50.csv; src_file=139958 take=A,unknown,PRESENT,24000,1,float32,5.000000000,preserve_full_short_source,0.000000000,5.000000000,,active_rms_v1,-9.423901831,-24.000000127,1.147377014,0.214240342,-14.576098169,false,true
ESC-50:14262,clock_alarm,ESC-50,clock_alarm,14262,esc50:14262,ESC-50:esc50:14262,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/raw/esc50/ESC-50-master/audio/1-14262-A-37.wav,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/source_pool_pilot_001/wav/clock_alarm/esc50__14262.wav,wav/clock_alarm/esc50__14262.wav,7c3b0013cd7d5067d84f86fa1c282c8bbae6786d18f984561e18d5c20069eaa2,99261b63268a922add442266aed0748b99dbb5c6e1372d6a33527e9efdfd7636,220c3d127df2f0d8979a2edde5318aaaa3aed19d8c5d3b4a40d529f979bba453,train,clsdoa_source_split_v2_stratified,ACCEPT,EXACT,AUTO_PASS,,DATASET_LEVEL_VERIFIED,CC BY-NC 3.0; dataset-level license and attribution file,https://github.com/karolpiczak/ESC-50; meta/esc50.csv; src_file=14262 take=A,unknown,PRESENT,24000,1,float32,5.000000000,preserve_full_short_source,0.000000000,5.000000000,,active_rms_v1,-20.517860825,-24.000001153,0.357046634,0.239121139,-3.482139175,false,true
ESC-50:148297,clock_alarm,ESC-50,clock_alarm,148297,esc50:148297,ESC-50:esc50:148297,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/raw/esc50/ESC-50-master/audio/3-148297-A-37.wav,/home/leiyuxin/soundspaces/source_assets/clsdoa_v1/prepared/source_pool_pilot_001/wav/clock_alarm/esc50__148297.wav,wav/clock_alarm/esc50__148297.wav,9c20c64ab577bd50ccbb10c24f6117ec26cf34fea1d45ff47986de103a5854ba,ea1e4e386d21f349362d5f2efe1b4a2b3b0317f4b457778229065cd2d9fbc386,3e1cd1eb5c9bfe18c841b222af19d3d0fb999a931c4665c9c43385f5f26739ce,train,clsdoa_source_split_v2_stratified,ACCEPT,EXACT,AUTO_PASS,,DATASET_LEVEL_VERIFIED,CC BY-NC 3.0; dataset-level license and attribution file,https://github.com/karolpiczak/ESC-50; meta/esc50.csv; src_file=148297 take=A,unknown,PRESENT,24000,1,float32,5.000000000,preserve_full_short_source,0.000000000,5.000000000,,active_rms_v1,-2.849001972,-24.000000127,1.012073517,0.088646613,-21.150998028,false,true
